work_id,year,decision,doi,disposition,reason,title
work_0016f2020218fbe5,2025,adjacent_relevant,10.1177/10738584251337656,drop (screener exclude 2026-08-26),macroscale theoretical; not nanoscale mapping,Connectivity in the Human Cerebral Cortex: A Fundamental Problem and a Possible Explanation for the Cognitive Power of Vertebrates
work_e2e885d60174dbaa,2025,adjacent_relevant,10.1016/j.tins.2025.10.007,drop (screener exclude 2026-08-26),comparative sensory neurobiology; no mapping tie,"Sexual dimorphism in pheromone perception across worms, flies, and rodents."
work_6f59f36ba7767917,2025,adjacent_relevant,10.1016/j.neuroscience.2025.03.006,drop (screener exclude 2026-08-26),Uruguay Drosophila community survey; not nanoscale mapping,"Taking flight, the use of Drosophila melanogaster for neuroscience research in Uruguay."
work_c47c1a58554dcf03,2026,role_bridge,10.1016/j.clineuro.2026.109475,drop (screener exclude 2026-08-26),macroscale clinical glioma connectome; not nanoscale mapping,"Gliomas as network diseases: Neuron-tumor interactions, connectome disruption, and clinical implications."
work_5e8c3be0c96f3f97,2026,adjacent_relevant,10.1109/tim.2026.3693404,drop (screener exclude 2026-08-26),instrumentation NN for slice thickness; not nanoscale mapping,A Physics-Inspired Neural Network Framework for Nanoscale Biological Slice Thickness Measurement
work_d478e4e9b45418c2,2026,role_bridge,10.1109/nice69539.2026.11567466,drop (screener exclude 2026-08-26),Loihi neuromorphic hardware mapping; screener exclude from working set,Memory Trade-Offs in Neuromorphic Communication Strategies of the Flywire Connectome on Loihi 2
work_76cf86007e3f5baf,2025,adjacent_relevant,10.1117/12.3047770,drop (screener exclude 2026-08-26),SPIE BiOS meeting abstract; light-sheet/ExM visualization,Visualizing Drosophila connectome with multiview light-sheet macrophotography and iterative expansion microscopy
work_530500d5198cf600,2024,adjacent_relevant,10.1016/j.ydbio.2024.07.018,drop (screener exclude 2026-08-26),developmental light-microscopy of ER-neurons; not nanoscale mapping,Structural changes shaping the Drosophila ellipsoid body ER-neurons during development and aging.
work_043d6cf6b22999a9,2026,adjacent_relevant,10.23919/date69613.2026.11539470,drop (screener exclude 2026-08-26),neuromorphic IC design; not nanoscale mapping,A Digital Neural Array IC for Real-Time Neural Network Replication from Spike Activities
work_55afa73b6c08e935,2019,adjacent_relevant,10.1212/wnl.92.15_supplement.p1.8-006,drop (screener exclude 2026-08-26),clinical meeting abstract; not nanoscale mapping,Ultrastructural Changes in Brain Stem Pathways in a Patient with Ataxia Associated with SPG7 Mutations (P1.8-006)
work_f2285f79d8778ed4,2020,adjacent_relevant,10.1016/j.jneumeth.2020.109062,drop (screener exclude 2026-08-26),light-microscopy morphology methods; not nanoscale mapping,A simple method defines 3D morphology and axon projections of filled neurons in a small CNS volume: steps toward understanding functional network circuitry.
work_37f1613cec20c6f3,2018,core_relevant,10.1017/s1431927618007742,drop (screener exclude 2026-08-26),meeting abstract / proceedings; not needed for exploration retrieval,Optimal Preparation of Drosophila Brain Samples for FIB-SEM
work_fb24e2e7796cd54c,2019,core_relevant,10.1117/12.2512808,drop (screener exclude 2026-08-26),meeting abstract / proceedings; not needed for exploration retrieval,Skeleton-based image registration of serial electron microscopy sections
work_32be8e2e7620bbea,2020,adjacent_relevant,10.1017/s1431927620015226,drop (screener exclude 2026-08-26),meeting abstract / proceedings; not needed for exploration retrieval,Transforming FIB-SEM for Large Volume Imaging: A Powerful Discovery Platform for Biological Sciences
work_6b8720ef71aace28,2022,core_relevant,10.1117/12.2611465,drop (screener exclude 2026-08-26),already flagged unavailable; now dropped from working set,Performance analysis in serial-section electron microscopy image registration of neuronal tissue
work_9388ccb7e7e830c1,2021,adjacent_relevant,10.1364/brain.2021.bm3b.2,drop (screener exclude 2026-08-26),already flagged unavailable; now dropped from working set,Confocal Bessel Beam Light-sheet and Expansion Microscopy for Axonal Connectomics of Mammalian Brains
work_20b1e77216429111,2025,role_bridge,10.1016/j.jocn.2025.111652,drop (screener exclude 2026-08-26),macroscale clinical XR/connectomics; not nanoscale mapping,Extended reality in the changing landscape of cranial neurosurgery: Role of image fusions and connectomics in precision and safety.
work_e8e5867174466a8b,2023,core_relevant,10.1109/icicsp59554.2023.10390629,drop (screener exclude 2026-08-26),IEEE meeting proceedings; not needed for exploration retrieval,Thickness Estimation of Biological Tissue Sections from Structural Deformation
