topic_kind,topic,time_bin,time_role,n_catalog,n_on_topic,n_year_cites_pct_ge50,n_kcore_ge3,n_in_ge5,n_cites_ge50,n_tpr_pct_ge50,n_history_milestone,n_contemporary,n_sota_proving,n_sota_plus_history,example_history_year,example_history_title,example_history_doi,example_sota_year,example_sota_title,example_sota_doi,fill_status,notes
pipeline_stage,preparation,pre-2005,history,1,1,1,1,1,1,1,1,0,0,1,2004,Serial Block-Face Scanning Electron Microscopy to Reconstruct Three-Dimensional Tissue Nanostru…,10.1371/journal.pbio.0020329,,,,keyword_draft,Keyword-draft tags; human charting still required.
pipeline_stage,preparation,2005–2009,history,2,2,1,1,1,1,1,1,0,0,1,2009,A Computational Framework for Ultrastructural Mapping of Neural Circuitry,10.1371/journal.pbio.1000074,,,,keyword_draft,Keyword-draft tags; human charting still required.
pipeline_stage,preparation,2010–2015,history,19,19,13,13,12,13,13,16,0,0,16,2011,High-accuracy neurite reconstruction for high-throughput neuroanatomy,10.1038/nn.2868,,,,keyword_draft,Keyword-draft tags; human charting still required.
pipeline_stage,preparation,2016–2018,history,15,15,8,10,5,5,6,11,0,0,11,2018,Multi-Beam Scanning Electron Microscopy for High-Throughput Imaging in Connectomics Research,10.3389/fnana.2018.00112,,,,keyword_draft,Keyword-draft tags; human charting still required.
pipeline_stage,preparation,2019,contemporary,12,12,4,6,1,2,2,0,7,0,7,,,,2019,En bloc preparation of Drosophila brains enables high-throughput FIB-SEM connectomics,10.1101/855130,keyword_draft,Keyword-draft tags; human charting still required.
pipeline_stage,preparation,2020,contemporary,10,10,3,7,3,1,4,0,7,0,7,,,,2020,Structured sampling of olfactory input by the fly mushroom body,10.1101/2020.04.17.047167,keyword_draft,Keyword-draft tags; human charting still required.
pipeline_stage,preparation,2021,contemporary,11,11,7,5,2,5,3,0,8,0,8,,,,2021,A connectomic study of a petascale fragment of human cerebral cortex,10.1101/2021.05.29.446289,keyword_draft,Keyword-draft tags; human charting still required.
pipeline_stage,preparation,2022,contemporary,8,8,3,5,1,0,2,0,5,0,5,,,,2022,All-optical visualization of specific molecules in the ultrastructural context of brain tissue,10.1038/s41587-025-02905-4,keyword_draft,Keyword-draft tags; human charting still required.
pipeline_stage,preparation,2023,contemporary,6,6,5,5,2,0,5,0,6,0,6,,,,2023,Immersion fixation and staining of multi-cubic millimeter volumes for electron microscopy-based…,10.1016/j.biopsych.2023.01.025,keyword_draft,Keyword-draft tags; human charting still required.
pipeline_stage,preparation,2024,contemporary,12,12,4,7,1,0,5,0,10,0,10,,,,2024,Global Neuron Shape Reasoning with Point Affinity Transformers,10.1101/2024.11.24.625067,keyword_draft,Keyword-draft tags; human charting still required.
pipeline_stage,preparation,2025,sota,11,11,7,7,1,1,11,0,0,3,3,,,,2025,Light-microscopy-based connectomic reconstruction of mammalian brain tissue,10.1038/s41586-025-08985-1,keyword_draft,Keyword-draft tags; human charting still required.
pipeline_stage,preparation,2026,sota,20,20,5,13,0,0,20,0,0,13,13,,,,2026,Learning the wiring rules of a mammalian cortical column,10.64898/2026.07.09.737432,keyword_draft,Keyword-draft tags; human charting still required.
pipeline_stage,sectioning,pre-2005,history,2,2,2,2,2,2,2,2,0,0,2,1986,The structure of the nervous system of the nematode Caenorhabditis elegans,10.1098/rstb.1986.0056,,,,keyword_draft,Keyword-draft tags; human charting still required.
pipeline_stage,sectioning,2005–2009,history,1,1,1,1,1,1,1,1,0,0,1,2009,A Computational Framework for Ultrastructural Mapping of Neural Circuitry,10.1371/journal.pbio.1000074,,,,keyword_draft,Keyword-draft tags; human charting still required.
pipeline_stage,sectioning,2010–2015,history,31,31,15,26,18,16,21,27,0,0,27,2013,Connectomic reconstruction of the inner plexiform layer in the mouse retina,10.1038/nature12346,,,,keyword_draft,Keyword-draft tags; human charting still required.
pipeline_stage,sectioning,2016–2018,history,30,30,21,26,17,12,19,28,0,0,28,2017,High-precision automated reconstruction of neurons with flood-filling networks,10.1038/s41592-018-0049-4,,,,keyword_draft,Keyword-draft tags; human charting still required.
pipeline_stage,sectioning,2019,contemporary,13,13,7,10,6,5,9,0,10,0,10,,,,2019,Large Scale Image Segmentation with Structured Loss Based Deep Learning for Connectome Reconstr…,10.1109/tpami.2018.2835450,keyword_draft,Keyword-draft tags; human charting still required.
pipeline_stage,sectioning,2020,contemporary,10,10,4,5,1,2,1,0,7,0,7,,,,2020,Reconstruction of motor control circuits in adult Drosophila using automated transmission elect…,10.1101/2020.01.10.902478,keyword_draft,Keyword-draft tags; human charting still required.
pipeline_stage,sectioning,2021,contemporary,15,15,6,11,3,2,8,0,13,0,13,,,,2021,Connectomes across development reveal principles of brain maturation,10.1038/s41586-021-03778-8,keyword_draft,Keyword-draft tags; human charting still required.
pipeline_stage,sectioning,2022,contemporary,10,10,5,6,3,1,4,0,6,0,6,,,,2022,Automated synapse-level reconstruction of neural circuits in the larval zebrafish brain,10.1038/s41592-022-01621-0,keyword_draft,Keyword-draft tags; human charting still required.
pipeline_stage,sectioning,2023,contemporary,10,10,3,7,0,1,5,0,8,0,8,,,,2023,A Scalable Staining Strategy for Whole-Brain Connectomics,10.1101/2023.09.26.558265,keyword_draft,Keyword-draft tags; human charting still required.
