work_id,doi,stem,title,pdf_path,wave_shard,catalog_paper,extract_looks_like,repair_status
work_75371f7313f33c66,10.1038/s41583-025-00998-z,doi_10.1038_s41583-025-00998-z,Synaptic-resolution connectomics: towards large brains and connectomic screening,files/doi_10.1038_s41583-025-00998-z.pdf,00,Helmstaedter 2025 NRN,Khan critical-point drying,resolved
work_6cb6b38366a67f63,10.1162/netn_a_00428,doi_10.1162_netn_a_00428,Combined topological and spatial constraints are required to capture the structure of neural connectomes,files/doi_10.1162_netn_a_00428.pdf,00,Salova & Kovács 2024,LLM topic-modelling,resolved
work_e8008cd9a116e028,10.1016/j.cub.2022.06.039,doi_10.1016_j.cub.2022.06.039,A set of hub neurons and non-local connectivity features support global brain dynamics in C. elegans.,files/doi_10.1016_j.cub.2022.06.039.pdf,01,Uzel hub neurons,Portman 2026,resolved
work_f4089e71d372f0e5,10.1126/science.abo0924,doi_10.1126_science.abo0924,Connectomic comparison of mouse and human cortex,files/doi_10.1126_science.abo0924.pdf,01,Loomba mouse-human cortex,Zhang 2026 RegInpaint,unresolved
work_aa4ac55bf3d997c2,10.1016/j.cell.2020.08.010,doi_10.1016_j.cell.2020.08.010,The Mind of a Mouse.,files/doi_10.1016_j.cell.2020.08.010.pdf,02,Abbott Mind of a Mouse,Curr Protoc 2025,unresolved
work_20e028bfe929110a,10.1016/j.conb.2019.03.012,doi_10.1016_j.conb.2019.03.012,"Big data in nanoscale connectomics, and the greed for training labels.",files/doi_10.1016_j.conb.2019.03.012.pdf,02,Motta big data CONB,webKnossos mitochondria,unresolved
work_4888d0293b40ce35,10.1016/j.conb.2019.07.007,doi_10.1016_j.conb.2019.07.007,Constraining computational models using electron microscopy wiring diagrams.,files/doi_10.1016_j.conb.2019.07.007.pdf,02,Litwin-Kumar & Turaga,Curr Biol 2025,unresolved
work_4f923dc785f0b321,10.1038/s41586-020-03134-2,doi_10.1038_s41586-020-03134-2,Structure and function of a neocortical synapse,files/doi_10.1038_s41586-020-03134-2.pdf,03,Holler Nature synapse,other,resolved
work_c6b4755fa98e0894,10.1126/science.aay3134,doi_10.1126_science.aay3134,Dense connectomic reconstruction in layer 4 of the somatosensory cortex,files/doi_10.1126_science.aay3134.pdf,03,Motta Science L4,other,resolved
work_8eb544cf75eb1e58,10.1242/jeb.164954,doi_10.1242_jeb.164954,Of what use is connectomics? A personal perspective on the Drosophila connectome,files/doi_10.1242_jeb.164954.pdf,03,Meinertzhagen JEB,Dorkenwald FlyWire,unresolved
work_6c16ccac03d903e6,10.1038/nmeth.4206,doi_10.1038_nmeth.4206,Automated synaptic connectivity inference for volume electron microscopy,files/doi_10.1038_nmeth.4206.pdf,03,SyConn,other,unresolved
work_9bbd63f1aa177d2c,10.1016/j.cois.2017.09.011,doi_10.1016_j.cois.2017.09.011,Learning from connectomics on the fly.,files/doi_10.1016_j.cois.2017.09.011.pdf,03,Schlegel COIS,other,unresolved
work_7c9431dcfcc3ff31,10.1038/nmeth.4331,doi_10.1038_nmeth.4331,webKnossos: efficient online 3D data annotation for connectomics,files/doi_10.1038_nmeth.4331.pdf,03,webKnossos,other,unresolved
work_2c6fe44c1be1c300,10.1038/nmeth.2476,doi_10.1038_nmeth.2476,Cellular-resolution connectomics: challenges of dense neural circuit reconstruction,files/doi_10.1038_nmeth.2476.pdf,04,Helmstaedter 2013 NM,2026 fluorescent labeling,unresolved
work_1afd0f5b17737035,10.1038/nmeth.2451,doi_10.1038_nmeth.2451,From the connectome to brain function,files/doi_10.1038_nmeth.2451.pdf,04,Bargmann & Marder 2013,2026 engram article,unresolved
work_82f50d96861b845b,10.1016/j.cub.2023.09.021,doi_10.1016_j.cub.2023.09.021,A complete reconstruction of the early visual system of an adult insect.,files/doi_10.1016_j.cub.2023.09.021.pdf,05,Chua 2023 CB,Varone 2026 insect vision,unresolved
work_f144bf9a5935462c,10.1038/nrn.2016.182,doi_10.1038_nrn.2016.182,Micro-connectomics: probing the organization of neuronal networks at the cellular scale,files/doi_10.1038_nrn.2016.182.pdf,06,Schröter 2017 NRN,Jin 2025,unresolved
work_c608ded31d0a89bd,,arxiv_1612.0212,A Multi-Pass Approach to Large-Scale Connectomics,files/arxiv_1612.0212.pdf,06,Multi-pass connectomics,bit-FCN,resolved
work_77f7a01eb5b8c41e,10.3109/01677063.2016.1166224,doi_10.3109_01677063.2016.1166224,Connectome studies on Drosophila: a short perspective on a tiny brain,files/doi_10.3109_01677063.2016.1166224.pdf,06,Meinertzhagen 2016,Tanaka & Clark 2022,unresolved
work_2dd964b0e399a1fe,10.1146/annurev-neuro-071714-033954,doi_10.1146_annurev-neuro-071714-033954,From Cajal to Connectome and Beyond.,files/doi_10.1146_annurev-neuro-071714-033954.pdf,06,Swanson & Lichtman 2016,SmartEM 2026,unresolved
work_e38ce8eb753d5588,10.3389/fcomp.2021.613981,doi_10.3389_fcomp.2021.613981,FusionNet: A Deep Fully Residual Convolutional Neural Network for Image Segmentation in Connectomics,files/doi_10.3389_fcomp.2021.613981.pdf,06,FusionNet,symplectic algebra,resolved
