work_id,doi,title,venue,outcome,evidence,n_cands,pdf_url,landing_url
work_e8008cd9a116e028,10.1016/j.cub.2022.06.039,A set of hub neurons and non-local connectivity features support global brain dynamics in C. elegans.,Current Biology,parser_miss,doi_landing:html,1,https://doi.org/10.1016/j.cub.2022.06.039,https://doi.org/10.1016/j.cub.2022.06.039
work_f4089e71d372f0e5,10.1126/science.abo0924,Connectomic comparison of mouse and human cortex,Science,paywall_confirmed,direct_search:HTTP403,2,https://www.science.org/doi/pdf/10.1126/science.abo0924,https://doi.org/10.1126/science.abo0924
work_aa4ac55bf3d997c2,10.1016/j.cell.2020.08.010,The Mind of a Mouse.,Cell,parser_miss,doi_landing:html,2,http://www.cell.com/article/S0092867420310011/pdf,https://doi.org/10.1016/j.cell.2020.08.010
work_20e028bfe929110a,10.1016/j.conb.2019.03.012,"Big data in nanoscale connectomics, and the greed for training labels.",Current Opinion in Neurobiology,parser_miss,doi_landing:html,1,https://doi.org/10.1016/j.conb.2019.03.012,https://doi.org/10.1016/j.conb.2019.03.012
work_4888d0293b40ce35,10.1016/j.conb.2019.07.007,Constraining computational models using electron microscopy wiring diagrams.,Current Opinion in Neurobiology,parser_miss,doi_landing:html,1,https://doi.org/10.1016/j.conb.2019.07.007,https://doi.org/10.1016/j.conb.2019.07.007
work_8eb544cf75eb1e58,10.1242/jeb.164954,Of what use is connectomics? A personal perspective on the Drosophila connectome,Journal of Experimental Biology,paywall_confirmed,doi_landing:HTTP403,2,http://journals.biologists.com/jeb/article-pdf/doi/10.1242/jeb.164954/1918591/jeb164954.pdf,https://doi.org/10.1242/jeb.164954
work_6c16ccac03d903e6,10.1038/nmeth.4206,Automated synaptic connectivity inference for volume electron microscopy,Nature Methods,parser_miss,doi_landing:html,3,http://www.nature.com/articles/nmeth.4206.pdf,https://doi.org/10.1038/nmeth.4206
work_9bbd63f1aa177d2c,10.1016/j.cois.2017.09.011,Learning from connectomics on the fly.,Current Opinion in Insect Science,parser_miss,doi_landing:html,2,https://www.repository.cam.ac.uk/bitstream/1810/274968/1/COIS_2017_98_Revision%201_V0%20%281%29.pdf,https://doi.org/10.1016/j.cois.2017.09.011
work_7c9431dcfcc3ff31,10.1038/nmeth.4331,webKnossos: efficient online 3D data annotation for connectomics,Nature Methods,parser_miss,doi_landing:html,3,http://www.nature.com/articles/nmeth.4331.pdf,https://doi.org/10.1038/nmeth.4331
work_2c6fe44c1be1c300,10.1038/nmeth.2476,Cellular-resolution connectomics: challenges of dense neural circuit reconstruction,Nature Methods,parser_miss,doi_landing:html,3,http://www.nature.com/articles/nmeth.2476.pdf,https://doi.org/10.1038/nmeth.2476
work_1afd0f5b17737035,10.1038/nmeth.2451,From the connectome to brain function,Nature Methods,parser_miss,doi_landing:html,3,http://www.nature.com/articles/nmeth.2451.pdf,https://doi.org/10.1038/nmeth.2451
work_82f50d96861b845b,10.1016/j.cub.2023.09.021,A complete reconstruction of the early visual system of an adult insect.,Current Biology,parser_miss,doi_landing:html,1,https://doi.org/10.1016/j.cub.2023.09.021,https://doi.org/10.1016/j.cub.2023.09.021
work_f144bf9a5935462c,10.1038/nrn.2016.182,Micro-connectomics: probing the organization of neuronal networks at the cellular scale,Nature Reviews Neuroscience,parser_miss,doi_landing:html,3,http://www.nature.com/articles/nrn.2016.182.pdf,https://doi.org/10.1038/nrn.2016.182
work_77f7a01eb5b8c41e,10.3109/01677063.2016.1166224,Connectome studies on Drosophila: a short perspective on a tiny brain,Journal of neurogenetics,paywall_confirmed,doi_landing:HTTP403,2,http://www.tandfonline.com/doi/pdf/10.3109/01677063.2016.1166224,https://doi.org/10.3109/01677063.2016.1166224
work_2dd964b0e399a1fe,10.1146/annurev-neuro-071714-033954,From Cajal to Connectome and Beyond.,Annual Review of Neuroscience,parser_miss,doi_landing:html,2,https://www.annualreviews.org/doi/pdf/10.1146/annurev-neuro-071714-033954,https://doi.org/10.1146/annurev-neuro-071714-033954
work_b5ff748c577ee45c,10.1109/tvcg.2014.2346371,Design and Evaluation of Interactive Proofreading Tools for Connectomics,IEEE Transactions on Visualization and Computer Graphics,parser_miss,doi_landing:not_pdf,2,http://xplorestaging.ieee.org/ielx7/2945/6935054/06875931.pdf?arnumber=6875931,https://doi.org/10.1109/tvcg.2014.2346371
