a,b,reason,notes
work_415a4588248db885,work_fd10f72811149ab6,exact_title,tj=1.0; both_inclusive=True; Photoemission electron microscopy for connectomics <> Photoemission electron microscopy for connectomics
work_5195056df2e1ac52,work_765885bfc2367645,near_duplicate_title,tj=0.889; both_inclusive=True; High-throughput image alignment for connectomics using fruga <> High-Throughput Image Alignment for Connectomics using Fruga
work_8113f64b1f73cab5,work_fbb388f2bf949e98,preprint_near_miss,tj=0.9; both_inclusive=True; Rapid reconstruction of neural circuits using tissue expansi <> Rapid reconstruction of neural circuits using tissue expansi
work_1bae2d5ef9d946b4,work_6b02e0bfc896d222,preprint_near_miss,tj=0.889; both_inclusive=True; Light-microscopy-based connectomic reconstruction of mammali <> Light-microscopy based dense connectomic reconstruction of m
work_067df68ce507c51a,work_beeea6a851b4fed9,preprint_near_miss,tj=0.875; both_inclusive=True; SEQUIN multiscale imaging of mammalian central synapses reve <> SEQUIN multiscale imaging of mammalian central synapses reve
work_11cea989f9393837,work_f069030f2c4c92b6,preprint_near_miss,tj=0.875; both_inclusive=True; Electron Microscopy Sample Preparation Protocol Enabling Nan <> Sample preparation protocol enabling nano-to-mesoscopic mapp
work_288f739dc6052fba,work_71228bbacae77900,preprint_near_miss,tj=0.867; both_inclusive=True; Mapping brain-wide excitatory projectome of primate prefront <> Mapping brain-wide excitatory projectome of primate prefront
work_09199ea5f61eb458,work_2485ee1dcda00821,preprint_near_miss,tj=0.857; both_inclusive=True; Spatial and morphological organization of mitochondria in ne <> Spatial and morphological organization of mitochondria acros
work_cd0b5754cedee65a,work_fc13e114cf7d06ac,preprint_near_miss,tj=0.857; both_inclusive=True; Comparative connectomics of dauer reveals developmental plas <> Mind of a dauer: Comparative connectomics reveals developmen
work_34fc25940f548ef5,work_c53582f26bc149ef,preprint_near_miss,tj=0.846; both_inclusive=True; Reconstruction of a connectome of single neurons in mouse br <> Reconstruct a Connectome of Single Neurons in Mouse Brains b
work_4e2150beaf4899c9,work_e1c1c0111e3437e4,preprint_near_miss,"tj=0.846; both_inclusive=True; Genetic, Cellular, and Connectomic Characterization of the A <> NIMG-13. GENETIC, CELLULAR, AND CONNECTOMIC CHARACTERIZATION"
work_6922548bd6668b06,work_a91dd32f1e156d6b,preprint_near_miss,tj=0.846; both_inclusive=True; Symmetries and synchronization from whole-neural activity in <> Symmetries and synchronization from whole-neural activity in
work_6a4f0f39d4def518,work_d0d0574327b29c36,preprint_near_miss,tj=0.846; both_inclusive=True; 3D reconstruction of the cerebellar germinal layer reveals t <> 3D reconstruction of the cerebellar germinal layer reveals i
work_5b8a9817f078c45d,work_bd2ccf370cd8d95a,preprint_near_miss,tj=0.833; both_inclusive=True; High-throughput mapping of single-neuron projection and mole <> High-throughput mapping of single-neuron projection and mole
work_401c89a6385f9a3d,work_b65ed95337b7dc26,preprint_near_miss,tj=0.833; both_inclusive=True; Cell-type specific innervation of cortical pyramidal cells a <> Cell-type specific innervation of cortical pyramidal cells a
work_57740b7642ad74b1,work_988afa930dd686a5,preprint_near_miss,tj=0.818; both_inclusive=True; Center-surround interactions underlie bipolar cell motion se <> Center-surround interactions underlie bipolar cell motion se
work_40fc999a7afe7d1d,work_e94cc5e67a4cfa4e,preprint_near_miss,tj=0.8; both_inclusive=True; Prediction of a Cell-Class-Specific Mouse Mesoconnectome Usi <> Prediction of a cell-type specific mouse mesoconnectome usin
