facet,value,era,time_role,n_working_set,n_global_core,champion_work_id,champion_doi,champion_title,champion_year,champion_in_global_core,in,out,k_core,year_cites_percentile
axis,untagged,pre-2005,history,4,1,work_001454df91336514,10.1523/jneurosci.15-12-08177.1995,Role of neural activity during synaptogenesis in Drosophila,1995,,1,0,1,38
axis,pipeline_stage,pre-2005,history,4,4,work_39c260e37ed45039,10.1098/rstb.1986.0056,The structure of the nervous system of the nematode Caenorhabditis elegans,1986,yes,135,0,13,100
stage,segmentation,pre-2005,history,1,1,work_02c7b46148a6c4a5,10.1523/jneurosci.18-20-08300.1998,Three-Dimensional Structure and Composition of CA3→CA1 Axons in Rat Hippocampal Slices: Implications for Presynaptic Connectivity and Compartmentalization,1998,yes,4,0,4,62
stage,preparation,pre-2005,history,1,1,work_21c10d8f3b695a0c,10.1371/journal.pbio.0020329,Serial Block-Face Scanning Electron Microscopy to Reconstruct Three-Dimensional Tissue Nanostructure,2004,yes,50,0,13,85
stage,sectioning,pre-2005,history,2,2,work_39c260e37ed45039,10.1098/rstb.1986.0056,The structure of the nervous system of the nematode Caenorhabditis elegans,1986,yes,135,0,13,100
stage,acquisition,pre-2005,history,1,1,work_21c10d8f3b695a0c,10.1371/journal.pbio.0020329,Serial Block-Face Scanning Electron Microscopy to Reconstruct Three-Dimensional Tissue Nanostructure,2004,yes,50,0,13,85
stage,graph_analysis,pre-2005,history,2,2,work_39c260e37ed45039,10.1098/rstb.1986.0056,The structure of the nervous system of the nematode Caenorhabditis elegans,1986,yes,135,0,13,100
organism,fly,pre-2005,history,1,0,work_001454df91336514,10.1523/jneurosci.15-12-08177.1995,Role of neural activity during synaptogenesis in Drosophila,1995,,1,0,1,38
organism,other,pre-2005,history,1,1,work_02c7b46148a6c4a5,10.1523/jneurosci.18-20-08300.1998,Three-Dimensional Structure and Composition of CA3→CA1 Axons in Rat Hippocampal Slices: Implications for Presynaptic Connectivity and Compartmentalization,1998,yes,4,0,4,62
organism,elegans,pre-2005,history,2,2,work_39c260e37ed45039,10.1098/rstb.1986.0056,The structure of the nervous system of the nematode Caenorhabditis elegans,1986,yes,135,0,13,100
organism,mouse,pre-2005,history,1,1,work_7b69c0d654c6eb2e,10.1016/s0896-6273(02)00652-9,Geometry and structural plasticity of synaptic connectivity.,2002,yes,0,0,0,50
dataset,DS01 C. elegans (White+),pre-2005,history,2,2,work_39c260e37ed45039,10.1098/rstb.1986.0056,The structure of the nervous system of the nematode Caenorhabditis elegans,1986,yes,135,0,13,100
method,SBF-SEM,pre-2005,history,1,1,work_21c10d8f3b695a0c,10.1371/journal.pbio.0020329,Serial Block-Face Scanning Electron Microscopy to Reconstruct Three-Dimensional Tissue Nanostructure,2004,yes,50,0,13,85
method,serial-section EM,pre-2005,history,2,2,work_39c260e37ed45039,10.1098/rstb.1986.0056,The structure of the nervous system of the nematode Caenorhabditis elegans,1986,yes,135,0,13,100
axis,pipeline_stage,2005–2009,history,17,12,work_c3af570cd83d4cfb,10.1371/journal.pcbi.1001066,Structural Properties of the Caenorhabditis elegans Neuronal Network,2009,yes,75,0,13,100
axis,untagged,2005–2009,history,1,0,work_17ed44014244fb80,10.1162/neco.2008.05-07-519,3D Axon Structure Extraction and Analysis in Confocal Fluorescence Microscopy Images,2007,,1,0,1,20
axis,registry_dataset,2005–2009,history,3,3,work_fc5029f7b2497692,10.1371/journal.pcbi.0020167,Gene Expression of Caenorhabditis elegans Neurons Carries Information on Their Synaptic Connectivity,2006,yes,5,0,4,15
stage,synapses,2005–2009,history,1,0,work_12ba8e6479fb9eac,10.1371/journal.pcbi.1000120,Using Expression Profiles of Caenorhabditis elegans Neurons To Identify Genes That Mediate Synaptic Connectivity,2008,,2,0,2,30
stage,infrastructure,2005–2009,history,4,4,work_186acb8763d28840,10.1371/journal.pcbi.0010042,The Human Connectome: A Structural Description of the Human Brain,2005,yes,42,0,10,100
stage,acquisition,2005–2009,history,3,3,work_440fdfad4902f6ae,10.1016/j.conb.2008.08.010,Ome sweet ome: what can the genome tell us about the connectome?,2008,yes,43,0,12,70
stage,graph_analysis,2005–2009,history,9,7,work_c3af570cd83d4cfb,10.1371/journal.pcbi.1001066,Structural Properties of the Caenorhabditis elegans Neuronal Network,2009,yes,75,0,13,100
stage,preparation,2005–2009,history,2,1,work_5b3cc3d12b85117b,10.1371/journal.pbio.1000074,A Computational Framework for Ultrastructural Mapping of Neural Circuitry,2009,yes,9,0,6,73
