work_id,stem,title,year,authors,venue,doi,landing_url,catalog_url,pdf_status,pdf_path,pdf_url,pdf_link,era,inclusion_role,time_role,in_analysis_base,in_degree,out_degree,k_core,year_cites_percentile,cites,in_core,source_group,decision,datasets,stages,organism,axis,method,pipeline_stage,registry_dataset,biological_application,bridge,field_synthesis,training_outreach,health_translation,abstract_missing,tag_source,why
work_001454df91336514,doi_10.1523_jneurosci.15-12-08177.1995,Role of neural activity during synaptogenesis in Drosophila,1995,Jill Jareckil; H. Keshishian; Hugo Bellen; Barry Ganetzky; C. Goodman; Marc S. Halfon; William M. Leiserson; G. Lnenicka; Robert J. Wyman; J. Jarecki,Journal of Neuroscience,10.1523/jneurosci.15-12-08177.1995,https://doi.org/10.1523/jneurosci.15-12-08177.1995,https://europepmc.org/articles/PMC6577928?pdf=render,downloaded,files/doi_10.1523_jneurosci.15-12-08177.1995.pdf,https://europepmc.org/articles/PMC6577928?pdf=render,files/doi_10.1523_jneurosci.15-12-08177.1995.pdf,pre-2005,,,1,1,0,1,38,91,0,core_audit,adjacent_relevant,,,fly,,,,,,,,,,false,title_abstract_organism,history_below_bar
work_001c0f01391e19c4,doi_10.1038_s41598-020-70859-5,Estimation of the number of synapses in the hippocampus and brain-wide by volume electron microscopy and genetic labeling,2020,Andrea Santuy; L. Tomas-Roca; José-Rodrigo Rodríguez; J. González-Soriano; Fei Zhu; Zhen Qiu; S. Grant; J. DeFelipe; Á. Merchán-Pérez,Scientific Reports,10.1038/s41598-020-70859-5,https://doi.org/10.1038/s41598-020-70859-5,https://www.nature.com/articles/s41598-020-70859-5.pdf,downloaded,files/doi_10.1038_s41598-020-70859-5.pdf,https://www.nature.com/articles/s41598-020-70859-5.pdf,files/doi_10.1038_s41598-020-70859-5.pdf,2020,contemporary,contemporary,1,1,1,2,81,53,1,role_bridge,core_relevant,,sectioning;acquisition,,pipeline_stage,FIB-SEM;confocal,sectioning;acquisition,,,,,,,false,dryrun+title_abstract+stages+title_abstract,contemporary_keep
work_00c9ebcec8853471,doi_10.64898_2026.05.08.723866,Physical contact reveals a hidden layer of cortical architecture,2026,Jordan K. Matelsky; Hannah Martinez; Michael S. Robinette; K. Merfeld; Daniel Xenes; Cara J. Cavanaugh; Sarah E. Emerson; Dhananjay Bhaskar; Benjamin Clark; Caitlyn Bishop; Konrad Paul Kording; Daniel A. Colón-Ramos; Patricia K. Rivlin; Cody J. Smith; Brock Andrew Wester,bioRxiv,10.64898/2026.05.08.723866,https://doi.org/10.64898/2026.05.08.723866,https://www.biorxiv.org/content/10.64898/2026.05.08.723866.full.pdf,downloaded,files/doi_10.64898_2026.05.08.723866.pdf,https://www.biorxiv.org/content/10.64898/2026.05.08.723866.full.pdf,files/doi_10.64898_2026.05.08.723866.pdf,2026,,,1,0,0,0,35,0,0,core_audit,core_relevant,,synapses;graph_analysis,mouse,pipeline_stage,,synapses;graph_analysis,,,,,,,false,dryrun+title_abstract_organism+stages,unproven_2026_low_out
work_00d72fd3c4223cd5,doi_10.1038_s41586-026-10735-w,Distributed control circuits across a brain-and-cord connectome.,2026,A. S. Bates; Jasper S. Phelps; Minsu Kim; H. Yang; Arie Matsliah; Zaki Ajabi; Eric Perlman; Kevin M. Delgado; Mohammed Abdal Monium Osman; Christopher K. Salmon; Jay Gager; B. Silverman; Sophia Renauld; Farzaan Salman; Janki Patel; Matt Collie; Jingxuan Fan; Diego A. Pacheco; Yun Zhao; Wenyi Zhang; L. Capdevila; Ruairí J. V. Roberts; E. Munnelly; Nina Griggs; H. Langley; Borja Moya-Llamas; Zuoyu Zhang; Ryan T Maloney; Szi-chieh Yu; A. Sterling; Marissa Sorek; Krzysztof Kruk; Nikitas Serafetinidis; Serene Dhawan; Finja Klemm; Paul Brooks; Ellen Lesser; Jessica M Jones; Sara E Pierce-Lundgren; Su-Yee J. Lee; Yichen Luo; Andrew P Cook; Theresa H. McKim; Dimitrios S. Giakoumas; Benjamin Gorko; Justin Ellis-Joyce; Jiayi Zhang; Emily C Kophs; Tjalda Falt; Alexa M Negron-Morales; Austin T Burke; James Hebditch; K. Willie; Ryan Willie; S. Popovych; N. Kemnitz; Dodam Ih; Kisuk Lee; R. Lu; Akhilesh Halageri; J. Bae; Benjamin Jourdan; Gregory Schwartzman; Damian D Demarest; Emil Behnke; Doug Bland; Anne Kristiansen; Jaime Skelton; Thomas Stocks; Dustin Garner; A. Hernandez; Sandeep Kumar; Kevin C. Daly; S. Dorkenwald; F. Collman; Marie P. Suver; Lisa M. Fenk; Michael J Pankratz; Zepeng Yao; Fei Wang; Stephen J Huston; T. Stürner; G. Jefferis; K. Eichler; A. Seeds; Stefanie Hampel; S. Agrawal; Tatsuo S. Okubo; Meet Zandawala; T. Macrina; Diane Adjavon; Jan Funke; John C. Tuthill; Anthony W. Azevedo; H. S. Seung; Benjamin L. de Bivort; M. Murthy; Jan Drugowitsch; Rachel I. Wilson; W. Lee,Nature,10.1038/s41586-026-10735-w,https://doi.org/10.1038/s41586-026-10735-w,https://www.nature.com/articles/s41586-026-10735-w.pdf,downloaded,files/doi_10.1038_s41586-026-10735-w.pdf,https://www.nature.com/articles/s41586-026-10735-w.pdf,files/doi_10.1038_s41586-026-10735-w.pdf,2026,,,1,0,0,0,94,3,0,core_audit,core_relevant,DS07 VNC (FANC/MANC),,fly,registry_dataset,,,DS07 VNC (FANC/MANC),,,,,,false,dryrun+dataset_organism+datasets,unproven_2026_low_out
work_00f9b510d0a91b47,doi_10.1007_978-3-030-11024-6_25,Detecting Synapse Location and Connectivity by Signed Proximity Estimation and Pruning with Deep Nets,2018,T. Parag; D. Berger; L. Kamentsky; B. Staffler; D. Wei; M. Helmstaedter; J. Lichtman; H. Pfister,ECCV Workshops,10.1007/978-3-030-11024-6_25,https://doi.org/10.1007/978-3-030-11024-6_25,https://arxiv.org/pdf/1807.02739.pdf,downloaded,files/doi_10.1007_978-3-030-11024-6_25.pdf,https://arxiv.org/pdf/1807.02739.pdf,files/doi_10.1007_978-3-030-11024-6_25.pdf,2016–2018,history,history,1,3,6,9,22,14,1,core_audit,core_relevant,,synapses;graph_analysis,fly,pipeline_stage,U-Net;electron microscopy,synapses;graph_analysis,,,,,,,false,dryrun+title_abstract_organism+stages+title_abstract,history_milestone
work_0128137052dec3e0,doi_10.64898_2026.05.23.727419,Functional Synaptic Interactions and Inhibitory Circuitry of the PreBötzinger Complex in the Rhythmic Slice,2026,Yaroslav I. Molkov; H. Koizumi; Jeffrey C. Smith,bioRxiv,10.64898/2026.05.23.727419,https://doi.org/10.64898/2026.05.23.727419,https://www.biorxiv.org/content/biorxiv/early/2026/05/24/2026.05.23.727419.full.pdf,downloaded,files/doi_10.64898_2026.05.23.727419.pdf,https://www.biorxiv.org/content/biorxiv/early/2026/05/24/2026.05.23.727419.full.pdf,files/doi_10.64898_2026.05.23.727419.pdf,2026,,,1,0,1,1,35,0,0,core_audit,adjacent_relevant,,,,biological_application,,,,yes,,,,,false,abstract_axis,unproven_2026_low_out
work_0133b141f368655b,doi_10.3389_fninf.2012.00002,Combining collation and annotation efforts toward completion of the rat and mouse connectomes in BAMS,2012,M. Bota; H. Dong; L. Swanson,Front. Neuroinform.,10.3389/fninf.2012.00002,https://doi.org/10.3389/fninf.2012.00002,https://www.frontiersin.org/articles/10.3389/fninf.2012.00002/pdf,downloaded,files/doi_10.3389_fninf.2012.00002.pdf,https://www.frontiersin.org/articles/10.3389/fninf.2012.00002/pdf,files/doi_10.3389_fninf.2012.00002.pdf,2010–2015,history,history,1,3,0,3,47,46,1,role_bridge,role_bridge,,proofreading;graph_analysis,mouse,pipeline_stage,,proofreading;graph_analysis,,,,,,,false,dryrun+title_abstract_organism+stages,history_milestone
work_01a371d322fa7848,doi_10.3390_photonics6030098,Optical Imaging in Brainsmatics,2019,Hua Shi; Yue Guan; Jianwei Chen; Qingming Luo,Photonics,10.3390/photonics6030098,https://doi.org/10.3390/photonics6030098,https://pub.mdpi-res.com/photonics/photonics-06-00098/article_deploy/photonics-06-00098.pdf,downloaded,files/doi_10.3390_photonics6030098.pdf,https://pub.mdpi-res.com/photonics/photonics-06-00098/article_deploy/photonics-06-00098.pdf,files/doi_10.3390_photonics6030098.pdf,2019,contemporary,contemporary,1,0,7,6,15,4,1,core_audit,adjacent_relevant,,proofreading,,pipeline_stage,,proofreading,,,,,,,false,dryrun+stages,contemporary_keep
work_01c85c45ede98837,doi_10.1111_cgf.14320,VICE: Visual Identification and Correction of Neural Circuit Errors,2021,Felix Gonda; Xueying Wang; Johanna Beyer; Markus Hadwiger; J. Lichtman; H. Pfister,Computer graphics forum (Print),10.1111/cgf.14320,https://doi.org/10.1111/cgf.14320,https://arxiv.org/pdf/2105.06861.pdf,downloaded,files/doi_10.1111_cgf.14320.pdf,https://arxiv.org/pdf/2105.06861.pdf,files/doi_10.1111_cgf.14320.pdf,2021,contemporary,contemporary,1,6,9,12,49,14,1,role_bridge,core_relevant,,segmentation;proofreading;synapses;infrastructure;graph_analysis,,pipeline_stage,electron microscopy,segmentation;proofreading;synapses;infrastructure;graph_analysis,,,,,,,false,dryrun+stages+title_abstract,contemporary_keep
work_01fc48c8442aa598,doi_10.1016_j.tics.2021.10.001,Convergent developmental principles between Caenorhabditis elegans and human connectomes.,2021,Jinbo Zhang; Longzhou Xu; Zaixu Cui,Trends in Cognitive Sciences,10.1016/j.tics.2021.10.001,https://doi.org/10.1016/j.tics.2021.10.001,https://europepmc.org/articles/PMC9489842?pdf=render,downloaded,files/doi_10.1016_j.tics.2021.10.001.pdf,https://europepmc.org/articles/PMC9489842?pdf=render,files/doi_10.1016_j.tics.2021.10.001.pdf,2021,,,1,0,2,2,20,3,0,core_audit,adjacent_relevant,DS01 C. elegans (White+),graph_analysis,elegans,pipeline_stage,,graph_analysis,DS01 C. elegans (White+),,,,,,false,dryrun+dataset_organism+stages,contemporary_below_bar
work_020893805fee7188,arxiv_2608.1929,The Connectome and the Quest for the Functional Logic of the Drosophila Early Olfactory System,2026,A. Lazar; Yiyin Zhou,,,https://arxiv.org/abs/2608.1929,https://arxiv.org/pdf/2608.1929.pdf,downloaded,files/arxiv_2608.1929.pdf,https://arxiv.org/pdf/2608.1929.pdf,files/arxiv_2608.1929.pdf,2026,sota,sota,1,0,14,10,35,0,1,core_audit,adjacent_relevant,,preparation;graph_analysis,fly,pipeline_stage,electron microscopy,preparation;graph_analysis,,,,,,,false,dryrun+title_abstract_organism+stages+title_abstract,sota_2026_out
work_020e3982c01153ed,doi_10.1051_bioconf_20235903017,An efficient 3D extraction and reconstruction method for myelinated axons of mouse cerebral cortex based on mixed intelligence,2023,Fang Yan; Jieji Ren; Zhifeng Shao; Xiaowei Li,BIO Web of Conferences,10.1051/bioconf/20235903017,https://doi.org/10.1051/bioconf/20235903017,https://doi.org/10.1051/bioconf/20235903017,downloaded,files/doi_10.1051_bioconf_20235903017.pdf,,files/doi_10.1051_bioconf_20235903017.pdf,2023,,,1,0,1,1,6,0,0,unresolved,adjacent_relevant,,segmentation;proofreading;graph_analysis,mouse,pipeline_stage,U-Net,segmentation;proofreading;graph_analysis,,,,,,,false,dryrun+title_abstract_organism+stages+title_abstract,contemporary_below_bar
