canonical_key,s2_paper_id,doi,title,year,venue,citation_count,n_panel_members,n_clusters,panel_members,clusters,abbott_corroborated,provenance_route,in_frozen_discovery,frozen_keep,discovery_match_method,in_frozen_retained,work_id,working_corpus_decision
doi:10.1016/j.cell.2018.06.019,315c4ceb18f156c42a8da823ef81dc6658694a8e,10.1016/j.cell.2018.06.019,A Complete Electron Microscopy Volume of the Brain of Adult Drosophila melanogaster,2017,bioRxiv,912,8,8,P1;P2;P3;P4;P5;P6;P7;P8,Cambridge-natverse / fly analysis;Columbia-Janelia / theory & NeuroAI;Crick-EMBL / cell-biology vEM;Harvard-Pfister / visualization & infrastructure;Janelia-FlyEM / fly datasets;MPI-Frankfurt / mammalian cortex;Outside-field / emulation & alternative modalities;Princeton-Seung / reconstruction,True,panel-convergence (b),True,True,s2_id,True,work_8cba212f6e7b83ad,core_relevant
doi:10.1098/rstb.1986.0056,62d36f23580ae0c822ebc7de69ae603d85441bfc,10.1098/rstb.1986.0056,The structure of the nervous system of the nematode Caenorhabditis elegans.,1986,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences",5857,6,6,P1;P2;P3;P4;P7;P8,Columbia-Janelia / theory & NeuroAI;Crick-EMBL / cell-biology vEM;Janelia-FlyEM / fly datasets;MPI-Frankfurt / mammalian cortex;Outside-field / emulation & alternative modalities;Princeton-Seung / reconstruction,True,panel-convergence (b),True,False,s2_id,False,work_39c260e37ed45039,core_relevant
doi:10.1371/journal.pbio.0020329,60a3f1875699fba060c126e88df9ad30e599a0b8,10.1371/journal.pbio.0020329,Serial Block-Face Scanning Electron Microscopy to Reconstruct Three-Dimensional Tissue Nanostructure,2004,PLoS Biology,1627,5,5,P1;P2;P3;P4;P6,Crick-EMBL / cell-biology vEM;Harvard-Pfister / visualization & infrastructure;Janelia-FlyEM / fly datasets;MPI-Frankfurt / mammalian cortex;Princeton-Seung / reconstruction,False,panel-convergence (b),True,False,s2_id,False,work_21c10d8f3b695a0c,core_relevant
doi:10.1016/j.cell.2015.06.054,37288fe76a864233214b6a5e4cee29923e9c36b9,10.1016/j.cell.2015.06.054,Saturated Reconstruction of a Volume of Neocortex.,2015,Cell,1031,5,5,P1;P2;P3;P6;P7,Columbia-Janelia / theory & NeuroAI;Crick-EMBL / cell-biology vEM;Harvard-Pfister / visualization & infrastructure;MPI-Frankfurt / mammalian cortex;Princeton-Seung / reconstruction,False,panel-convergence (b),True,False,s2_id,False,work_ab4936e9fe95de49,core_relevant
doi:10.1523/jneurosci.3189-07.2008,f2a98fd312f3618d87cea4efb234301658e5c43a,10.1523/jneurosci.3189-07.2008,Serial Section Scanning Electron Microscopy of Adult Brain Tissue Using Focused Ion Beam Milling,2008,Journal of Neuroscience,685,5,5,P1;P2;P3;P4;P6,Crick-EMBL / cell-biology vEM;Harvard-Pfister / visualization & infrastructure;Janelia-FlyEM / fly datasets;MPI-Frankfurt / mammalian cortex;Princeton-Seung / reconstruction,False,panel-convergence (b),True,False,s2_id,False,,
doi:10.1038/s41592-019-0641-2,91ee7fa610c29c755bd15253b0c04cbc5e116900,10.1038/s41592-019-0641-2,Gas cluster ion beam SEM for imaging of large tissue samples with 10 nm isotropic resolution,2019,Nature Methods,63,5,5,P1;P2;P5;P6;P8,Cambridge-natverse / fly analysis;Crick-EMBL / cell-biology vEM;Harvard-Pfister / visualization & infrastructure;MPI-Frankfurt / mammalian cortex;Outside-field / emulation & alternative modalities,False,panel-convergence (b),True,False,s2_id,False,,
doi:10.7554/elife.57443,485fe26cdf8b1ad829b8601986fe4295ac360a52,10.7554/elife.57443,A connectome and analysis of the adult Drosophila central brain,2020,bioRxiv,901,4,4,P1;P2;P5;P6,Cambridge-natverse / fly analysis;Crick-EMBL / cell-biology vEM;Harvard-Pfister / visualization & infrastructure;MPI-Frankfurt / mammalian cortex,False,panel-convergence (b),True,True,s2_id,True,work_7773a3cd24b3497d,core_relevant
doi:10.1038/nature09802,124dabf0da002ec1aa44eabd3885cd80873d304c,10.1038/nature09802,Network anatomy and in vivo physiology of visual cortical neurons,2011,Nature,889,4,4,P1;P2;P6;P7,Columbia-Janelia / theory & NeuroAI;Crick-EMBL / cell-biology vEM;Harvard-Pfister / visualization & infrastructure;MPI-Frankfurt / mammalian cortex,False,panel-convergence (b),True,True,s2_id,True,work_7afda5ab9166c6fb,core_relevant
doi:10.1038/s41586-019-1352-7,d0104c7b30247de2aa4c680b7b5ed399de0cf32f,10.1038/s41586-019-1352-7,Whole-animal connectomes of both Caenorhabditis elegans sexes,2019,Nature,806,4,4,P1;P5;P7;P8,Cambridge-natverse / fly analysis;Columbia-Janelia / theory & NeuroAI;MPI-Frankfurt / mammalian cortex;Outside-field / emulation & alternative modalities,False,panel-convergence (b),True,True,s2_id,True,work_cfa0e3eb48787eff,core_relevant
doi:10.1038/nature12450,421c04ed63e6deaadc4f5ae35eb1b64fdf005e5d,10.1038/nature12450,A visual motion detection circuit suggested by Drosophila connectomics,2013,Nature,695,4,4,P1;P3;P4;P7,Columbia-Janelia / theory & NeuroAI;Janelia-FlyEM / fly datasets;MPI-Frankfurt / mammalian cortex;Princeton-Seung / reconstruction,False,panel-convergence (b),True,True,s2_id,True,work_087e18b9051261d3,core_relevant
doi:10.1038/nature13240,0bd0fe8691ed2bbaa5c19b24b301d32c41f2b7d1,10.1038/nature13240,Space-time wiring specificity supports direction selectivity in the retina,2014,Nature,494,4,4,P1;P2;P3;P7,Columbia-Janelia / theory & NeuroAI;Crick-EMBL / cell-biology vEM;MPI-Frankfurt / mammalian cortex;Princeton-Seung / reconstruction,False,panel-convergence (b),True,False,s2_id,False,work_a83752a657d4ec4e,core_relevant
doi:10.1038/nature14297,31a8e371df3c0f236b5796142e7fefd69de67164,10.1038/nature14297,A multilevel multimodal circuit enhances action selection in Drosophila,2015,Nature,430,4,4,P2;P4;P5;P7,Cambridge-natverse / fly analysis;Columbia-Janelia / theory & NeuroAI;Crick-EMBL / cell-biology vEM;Janelia-FlyEM / fly datasets,False,panel-convergence (b),True,False,s2_id,False,,
doi:10.1038/s41592-018-0049-4,7cfc1e85392d4007a90ecd05b7a0318252041c3c,10.1038/s41592-018-0049-4,High-precision automated reconstruction of neurons with flood-filling networks,2017,Nature Methods,382,4,4,P1;P2;P3;P6,Crick-EMBL / cell-biology vEM;Harvard-Pfister / visualization & infrastructure;MPI-Frankfurt / mammalian cortex;Princeton-Seung / reconstruction,False,panel-convergence (b),True,False,s2_id,False,work_7b437ce3ba4d27c5,core_relevant
doi:10.1016/j.conb.2011.10.022,989ede2d7923c453cb77ecae30fb56d6b53ba16b,10.1016/j.conb.2011.10.022,Volume electron microscopy for neuronal circuit reconstruction.,2012,Current Opinion in Neurobiology,359,4,4,P1;P6;P7;P8,Columbia-Janelia / theory & NeuroAI;Harvard-Pfister / visualization & infrastructure;MPI-Frankfurt / mammalian cortex;Outside-field / emulation & alternative modalities,False,panel-convergence (b),True,True,s2_id,True,work_d2df514fdb3df8f0,adjacent_relevant
doi:10.1038/s41592-021-01330-0,3149671f907078eac6835a05a99da756c493a15b,10.1038/s41592-021-01330-0,FlyWire: Online community for whole-brain connectomics,2020,Nature Methods,242,4,4,P1;P2;P5;P6,Cambridge-natverse / fly analysis;Crick-EMBL / cell-biology vEM;Harvard-Pfister / visualization & infrastructure;MPI-Frankfurt / mammalian cortex,False,panel-convergence (b),True,True,s2_id,True,work_241b54c819ff405b,core_relevant
doi:10.1111/jmi.12224,dd8622231b97aa0fbf78a116618bebad57b0d10d,10.1111/jmi.12224,"High-resolution, high-throughput imaging with a multibeam scanning electron microscope",2015,Journal of Microscopy,211,4,4,P1;P2;P3;P6,Crick-EMBL / cell-biology vEM;Harvard-Pfister / visualization & infrastructure;MPI-Frankfurt / mammalian cortex;Princeton-Seung / reconstruction,False,panel-convergence (b),True,False,s2_id,False,,
doi:10.1038/nmeth.3292,9d30f95e9db046d88eea72e6ec9b646137cb6577,10.1038/nmeth.3292,Ultrastructurally-smooth thick partitioning and volume stitching for larger-scale connectomics,2015,Nature Methods,148,4,4,P1;P2;P4;P6,Crick-EMBL / cell-biology vEM;Harvard-Pfister / visualization & infrastructure;Janelia-FlyEM / fly datasets;MPI-Frankfurt / mammalian cortex,False,panel-convergence (b),True,True,s2_id,True,work_c295eac10773de92,core_relevant
doi:10.1038/s41467-020-18659-3,6877a7c38178a1737a765e1878bd04d296cb7b23,10.1038/s41467-020-18659-3,A petascale automated imaging pipeline for mapping neuronal circuits with high-throughput transmission electron microscopy,2019,Nature Communications,133,4,4,P1;P2;P6;P8,Crick-EMBL / cell-biology vEM;Harvard-Pfister / visualization & infrastructure;MPI-Frankfurt / mammalian cortex;Outside-field / emulation & alternative modalities,False,panel-convergence (b),True,True,s2_id,True,work_8fd725d2118803e2,core_relevant
doi:10.1038/s41592-021-01183-7,db2ef6663337acd922350c2f2145d4e1039c4199,10.1038/s41592-021-01183-7,Automatic Detection of Synaptic Partners in a Whole-Brain Drosophila EM Dataset,2021,Nature Methods,123,4,4,P1;P2;P5;P6,Cambridge-natverse / fly analysis;Crick-EMBL / cell-biology vEM;Harvard-Pfister / visualization & infrastructure;MPI-Frankfurt / mammalian cortex,False,panel-convergence (b),True,False,s2_id,False,,
doi:10.1038/nature12346,322384d2e32e306bcbbbbf372ca524ddb7fc78f6,10.1038/nature12346,Connectomic reconstruction of the inner plexiform layer in the mouse retina,2013,Nature,988,3,3,P1;P3;P7,Columbia-Janelia / theory & NeuroAI;MPI-Frankfurt / mammalian cortex;Princeton-Seung / reconstruction,False,panel-convergence (b),True,False,s2_id,False,work_5c2378945eccb27f,core_relevant
doi:10.1038/nature09818,039d865a90fd00ab4ed62e70b625c51496fa76cb,10.1038/nature09818,Wiring specificity in the direction-selectivity circuit of the retina,2011,Nature,833,3,3,P1;P2;P7,Columbia-Janelia / theory & NeuroAI;Crick-EMBL / cell-biology vEM;MPI-Frankfurt / mammalian cortex,False,panel-convergence (b),True,False,s2_id,False,work_3cf844f488b27a48,core_relevant
doi:10.1038/nature17192,ab2c027849e38411a28092436ae6a44a22c5ad9d,10.1038/nature17192,Anatomy and function of an excitatory network in the visual cortex,2016,Nature,487,3,3,P1;P3;P7,Columbia-Janelia / theory & NeuroAI;MPI-Frankfurt / mammalian cortex;Princeton-Seung / reconstruction,False,panel-convergence (b),True,True,s2_id,True,work_7ee1f288ebd5d281,core_relevant
doi:10.1038/s41592-018-0219-4,acb8546133cbd487fd491c5b99c357271716791b,10.1038/s41592-018-0219-4,Expansion Microscopy: Principles and Uses in Biological Research,2018,Nature Methods,428,3,3,P1;P6;P8,Harvard-Pfister / visualization & infrastructure;MPI-Frankfurt / mammalian cortex;Outside-field / emulation & alternative modalities,False,panel-convergence (b),True,False,s2_id,False,,
doi:10.1038/s41586-021-03778-8,128c27d32bfd7faea76109017002a70045429d60,10.1038/s41586-021-03778-8,Connectomes across development reveal principles of brain maturation,2021,Nature,395,3,3,P1;P2;P5,Cambridge-natverse / fly analysis;Crick-EMBL / cell-biology vEM;MPI-Frankfurt / mammalian cortex,False,panel-convergence (b),True,True,s2_id,True,work_564cb966947b22a2,
doi:10.7554/elife.25916,0469e73159d9102c31036c1eb6a9b22ae2ed7021,10.7554/elife.25916,Enhanced FIB-SEM systems for large-volume 3D imaging,2017,eLife,364,3,3,P1;P2;P3,Crick-EMBL / cell-biology vEM;MPI-Frankfurt / mammalian cortex;Princeton-Seung / reconstruction,False,panel-convergence (b),True,True,s2_id,True,work_1d87c152cf48058c,core_relevant
