priority,flag,tj,seq,author_jaccard,year_diff,preprint_pair,both_inclusive,a_decision,b_decision,a_work_id,b_work_id,a_year,b_year,a_venue,b_venue,a_doi,b_doi,a_arxiv,b_arxiv,a_cites,b_cites,a_title,b_title,a_canonical_paper_id,b_canonical_paper_id,suggested_action
2_core_plus_inclusive,preprint_near_miss,0.875,0.931,1.0,0.0,True,True,adjacent_relevant,core_relevant,work_11cea989f9393837,work_f069030f2c4c92b6,2019.0,2019.0,Bio-protocol,bioRxiv,10.21769/bioprotoc.3298,10.1101/533448,,,4,2,Electron Microscopy Sample Preparation Protocol Enabling Nano-to-mesoscopic Mapping of Cellular Connectomes and Their Habitats in Human Tissues and Organs.,Sample preparation protocol enabling nano-to-mesoscopic mapping of cellular connectomes and their habitats in human tissues and organs,a0029975d35809084ce5a97ed8bd054147189d84,61ab99cfe86570cf2b8a3c3e7cdadc8654211e68,merge_manual_link
2_core_plus_inclusive,preprint_near_miss,0.8,0.927,1.0,0.0,True,True,adjacent_relevant,core_relevant,work_09cad265abcc12f6,work_57acd5b918a0ef71,2022.0,2022.0,Network Neuroscience,bioRxiv,10.1162/netn_a_00283,10.1101/2022.03.11.484039,,,8,2,Circuit analysis of the Drosophila brain using connectivity-based neuronal classification reveals organization of key communication pathways,Circuit analysis of the Drosophila brain using connectivity-based neuronal classification reveals organization of key information processing pathways,c67082bbe83aa651b164b3cc61f7972839891215,9506c10b85b97bc2e0876b6d244b8f34b1145864,merge_manual_link
2_core_plus_inclusive,preprint_near_miss,0.778,0.872,0.636,1.0,True,True,adjacent_relevant,core_relevant,work_58ffc4aa95b9babd,work_b4123cdf49a2541d,2019.0,2018.0,eNeuro,bioRxiv,10.1523/eneuro.0193-19.2019,10.1101/386912,,,31,2,Fluorescence-Based Quantitative Synapse Analysis for Cell Type-Specific Connectomics,Quantitative synapse analysis for cell-type specific connectomics,b5605575ca70539dd4268641a95963e5cbc40e4f,58b15936d0bd24af9a99e3b218f827faf2455990,merge_manual_link
2_core_plus_inclusive,preprint_near_miss,0.769,0.907,1.0,1.0,True,True,core_relevant,adjacent_relevant,work_ad0e04ae179235d2,work_f378871fb09fedda,2025.0,2024.0,PLoS Comput. Biol.,nan,10.1371/journal.pcbi.1013818,nan,,2501.00278,1,3,A data-driven biology-based network model reproduces C. elegans premotor neural dynamics,A data-driven biophysical network model reproduces C. elegans premotor neural dynamics,a80b274f61c4f5c65e28a596c01a7c79ce86dad3,ab0bc68089d08f90d3d9b77226c28e889b73e8e9,merge_manual_link
2_core_plus_inclusive,preprint_near_miss,0.714,0.968,0.667,1.0,True,True,core_relevant,adjacent_relevant,work_3d9daf3ab214c7e3,work_eae005a0f4080def,2016.0,2017.0,bioRxiv,Frontiers in Behavioral Neuroscience,10.1101/051318,10.3389/fnbeh.2017.00102,,,0,14,Generating an Executable Model of the Drosophila Central Complex,Generating Executable Models of the Drosophila Central Complex,06e229166206b78af16786cf3e576036253cc9d3,47c6a8a0d91f02667dc28d708e806b9741fdb37b,merge_manual_link
3_both_inclusive_noncore,exact_title,1.0,1.0,0.5,2.0,True,True,adjacent_relevant,adjacent_relevant,work_415a4588248db885,work_fd10f72811149ab6,2023.0,2025.0,bioRxiv,Proceedings of the National Academy of Sciences of the United States of America,10.1101/2023.09.05.556423,10.1073/pnas.2521349122,,,1,1,Photoemission electron microscopy for connectomics,Photoemission electron microscopy for connectomics,6974d7ddacf27152fddaf8e658c753f5e5a3270e,38c52c14a8e668073f1ddb4ccd0f31d73b206a12,merge_manual_link
3_both_inclusive_noncore,preprint_near_miss,0.9,0.957,0.947,1.0,True,True,adjacent_relevant,adjacent_relevant,work_8113f64b1f73cab5,work_fbb388f2bf949e98,2022.0,2021.0,eLife,bioRxiv,10.7554/elife.81248,10.1101/2021.11.14.468535,,,34,7,Rapid reconstruction of neural circuits using tissue expansion and light sheet microscopy,Rapid reconstruction of neural circuits using tissue expansion and lattice light sheet microscopy,34313331e3d146173635b7ea4cdec3b648946466,b2e6215542288d10b9d5d1ad21d5b49e31eca742,merge_manual_link
3_both_inclusive_noncore,preprint_near_miss,0.875,0.982,0.833,1.0,True,True,adjacent_relevant,adjacent_relevant,work_067df68ce507c51a,work_beeea6a851b4fed9,2020.0,2019.0,Neuron,bioRxiv,10.1016/j.neuron.2020.04.012,10.1101/704916,,,9,34,SEQUIN multiscale imaging of mammalian central synapses reveals loss of synaptic connectivity resulting from diffuse traumatic brain injury,SEQUIN multiscale imaging of mammalian central synapses reveals loss of synaptic microconnectivity resulting from diffuse traumatic brain injury,d28e270ea6cac6175a92677efdfc4d48d9075896,52259f849bc887144bca7e9b10fe1acc412d57ad,merge_manual_link
3_both_inclusive_noncore,preprint_near_miss,0.867,0.921,0.933,1.0,True,True,adjacent_relevant,adjacent_relevant,work_288f739dc6052fba,work_71228bbacae77900,2021.0,2022.0,bioRxiv,eLife,10.1101/2021.09.13.460040,10.7554/elife.72534,,,0,26,Mapping brain-wide excitatory projectome of primate prefrontal cortex at submicron resolution: relevance to diffusion tractography,Mapping brain-wide excitatory projectome of primate prefrontal cortex at submicron resolution and comparison with diffusion tractography,18691c86b7ee818b0e1ccd2a8082a0d66031f53c,18555de7d13ad46f97ac0682e7b007e83e838b64,merge_manual_link
3_both_inclusive_noncore,preprint_near_miss,0.846,0.973,1.0,1.0,True,True,adjacent_relevant,adjacent_relevant,work_34fc25940f548ef5,work_c53582f26bc149ef,2025.0,2024.0,Nature Methods,bioRxiv,10.1038/s41592-025-02784-2,10.1101/2024.10.01.616182,,,11,1,Reconstruction of a connectome of single neurons in mouse brains by cross-validating multi-scale multi-modality data,Reconstruct a Connectome of Single Neurons in Mouse Brains by Cross-Validating Multi-Scale Multi-Modality Data,018e25a060c4ee1b486804249f8d89db65cd2c43,9229237401ee130916a5e27d36df725319813fef,merge_manual_link
3_both_inclusive_noncore,preprint_near_miss,0.846,0.965,1.0,0.0,True,True,adjacent_relevant,adjacent_relevant,work_4e2150beaf4899c9,work_e1c1c0111e3437e4,2020.0,2020.0,nan,nan,10.1101/2020.02.18.20018531,10.1093/neuonc/noaa215.626,,,6,0,"Genetic, Cellular, and Connectomic Characterization of the Adult Human Brain Regions Commonly Plagued by Glioma","NIMG-13. GENETIC, CELLULAR, AND CONNECTOMIC CHARACTERIZATION OF THE ADULT HUMAN BRAIN REGIONS COMMONLY PLAGUED BY GLIOMA",641ea2858cf12078d4c7681737f6ddf79fb68e31,5d0a14c66e598ab979214829888098cfd9254fd6,merge_manual_link
