flag,tj,seq,aj,yd,pre_pair,both_inclusive,a_wid,b_wid,a_dec,b_dec,a_year,b_year,a_venue,b_venue,a_doi,b_doi,a_arxiv,b_arxiv,a_title,b_title,a_vc,b_vc
exact_title,1.0,1.0,0.5,2.0,True,True,work_415a4588248db885,work_fd10f72811149ab6,adjacent_relevant,adjacent_relevant,2023.0,2025.0,bioRxiv,Proceedings of the National Academy of S,10.1101/2023.09.05.556423,10.1073/pnas.2521349122,,,Photoemission electron microscopy for connectomics,Photoemission electron microscopy for connectomics,1,1
near_duplicate_title,0.889,0.956,1.0,1.0,False,True,work_5195056df2e1ac52,work_765885bfc2367645,core_relevant,core_relevant,2019.0,2020.0,ACM SIGPLAN Symposium on Principles & Pr,IEEE Conference on High Performance Extr,10.1145/3293883.3301495,10.1109/hpec43674.2020.9286243,,,High-throughput image alignment for connectomics using frugal snap judgments: poster,High-Throughput Image Alignment for Connectomics using Frugal Snap Judgments,1,1
preprint_near_miss,0.9,0.957,0.947,1.0,True,True,work_8113f64b1f73cab5,work_fbb388f2bf949e98,adjacent_relevant,adjacent_relevant,2022.0,2021.0,eLife,bioRxiv,10.7554/elife.81248,10.1101/2021.11.14.468535,,,Rapid reconstruction of neural circuits using tissue expansion and light sheet microscopy,Rapid reconstruction of neural circuits using tissue expansion and lattice light sheet microscopy,1,1
preprint_near_miss,0.889,0.962,0.857,1.0,True,True,work_1bae2d5ef9d946b4,work_6b02e0bfc896d222,core_relevant,core_relevant,2025.0,2024.0,Nature,bioRxiv,10.1038/s41586-025-08985-1,10.1101/2024.03.01.582884,,,Light-microscopy-based connectomic reconstruction of mammalian brain tissue,Light-microscopy based dense connectomic reconstruction of mammalian brain tissue,1,1
preprint_near_miss,0.875,0.982,0.833,1.0,True,True,work_067df68ce507c51a,work_beeea6a851b4fed9,adjacent_relevant,adjacent_relevant,2020.0,2019.0,Neuron,bioRxiv,10.1016/j.neuron.2020.04.012,10.1101/704916,,,SEQUIN multiscale imaging of mammalian central synapses reveals loss of synaptic connectivity resulting from diffuse tra,SEQUIN multiscale imaging of mammalian central synapses reveals loss of synaptic microconnectivity resulting from diffus,1,1
preprint_near_miss,0.875,0.931,1.0,0.0,True,True,work_11cea989f9393837,work_f069030f2c4c92b6,adjacent_relevant,core_relevant,2019.0,2019.0,Bio-protocol,bioRxiv,10.21769/bioprotoc.3298,10.1101/533448,,,Electron Microscopy Sample Preparation Protocol Enabling Nano-to-mesoscopic Mapping of Cellular Connectomes and Their Ha,Sample preparation protocol enabling nano-to-mesoscopic mapping of cellular connectomes and their habitats in human tiss,1,1
preprint_near_miss,0.867,0.921,0.933,1.0,True,True,work_288f739dc6052fba,work_71228bbacae77900,adjacent_relevant,adjacent_relevant,2021.0,2022.0,bioRxiv,eLife,10.1101/2021.09.13.460040,10.7554/elife.72534,,,Mapping brain-wide excitatory projectome of primate prefrontal cortex at submicron resolution: relevance to diffusion tr,Mapping brain-wide excitatory projectome of primate prefrontal cortex at submicron resolution and comparison with diffus,1,1
preprint_near_miss,0.857,0.931,0.889,1.0,True,True,work_09199ea5f61eb458,work_2485ee1dcda00821,core_relevant,core_relevant,2025.0,2024.0,Science,bioRxiv,10.1126/science.ads6674,10.1101/2024.08.21.608912,,,Spatial and morphological organization of mitochondria in neurons across a connectome,Spatial and morphological organization of mitochondria across a connectome,1,1
preprint_near_miss,0.857,0.82,1.0,1.0,True,True,work_cd0b5754cedee65a,work_fc13e114cf7d06ac,core_relevant,core_relevant,2024.0,2023.0,Nature Communications,bioRxiv,10.1038/s41467-024-45943-3,10.1101/2023.03.23.533915,,,Comparative connectomics of dauer reveals developmental plasticity,Mind of a dauer: Comparative connectomics reveals developmental plasticity,1,1
preprint_near_miss,0.846,0.973,1.0,1.0,True,True,work_34fc25940f548ef5,work_c53582f26bc149ef,adjacent_relevant,adjacent_relevant,2025.0,2024.0,Nature Methods,bioRxiv,10.1038/s41592-025-02784-2,10.1101/2024.10.01.616182,,,Reconstruction of a connectome of single neurons in mouse brains by cross-validating multi-scale multi-modality data,Reconstruct a Connectome of Single Neurons in Mouse Brains by Cross-Validating Multi-Scale Multi-Modality Data,1,1
preprint_near_miss,0.846,0.965,1.0,0.0,True,True,work_4e2150beaf4899c9,work_e1c1c0111e3437e4,adjacent_relevant,adjacent_relevant,2020.0,2020.0,nan,nan,10.1101/2020.02.18.20018531,10.1093/neuonc/noaa215.626,,,"Genetic, Cellular, and Connectomic Characterization of the Adult Human Brain Regions Commonly Plagued by Glioma","NIMG-13. GENETIC, CELLULAR, AND CONNECTOMIC CHARACTERIZATION OF THE ADULT HUMAN BRAIN REGIONS COMMONLY PLAGUED BY GLIOMA",1,1
