a,b,link,field,value,reason,title_jaccard,title_sequence,author_jaccard,year_diff
8b9a752494539be2e2f2c103ff16d355b51e9b3d,8fac9bfe264b1bf5a8c3aaa10f0b46ec92ce4d64,exact_identifier,doi_norm,10.1101/2020.05.27.118927,,,,,
0104a07e631be35a2a3a20a913ce3ff7a49c3e2f,7bc4a8f172c3bc19171848430197a65103c4fcf3,same_work,,,exact_title_author_overlap,1.0,1.0,0.5814,4.0
0125ee366d4613fb71105624548ed0fb1d3eca6c,5fad1fb02775c85812db66c12d2804577161091d,same_work,,,exact_title_author_overlap,1.0,1.0,0.9167,1.0
03eaf38f4dfc0a5afa6f2cdf4320e63fa858300a,302b2d0cd0052892065975e91f0f0b2000de77d9,same_work,,,exact_title_author_overlap,1.0,1.0,0.7273,2.0
05df3f3b35376226b5fa2fd6544189fb0fb06111,9ed8c8b0df23c6e00bbc8509adcfe02b0370a61f,same_work,,,exact_title_author_overlap,1.0,1.0,0.5556,0.0
0e75c13dbb5f0f94775f44d8f4983b0a7a5d6b0c,4c0041c17baecc14381ca022c1b13bf006b7f340,same_work,,,near_exact_title_author_overlap,1.0,0.9661,1.0,1.0
11abd7de8f7117c2560b052e6d674cd76d9f19fc,f825fc0ff4e605afce865052c4bf20f0240fff09,same_work,,,exact_title_author_overlap,1.0,1.0,0.9565,0.0
1b1c9c0c93a4909d2a18d21baa7d6e08df1c2b68,a57d7ce1cffc56809141ac1fb395951c300f4066,same_work,,,exact_title_author_overlap,1.0,1.0,0.8235,0.0
1cd5cfb995352c6cb71a6fbe3eb9c97ee6ce2d51,3464d32fc7c0063b07ee4b7b87ecf74849437ba9,same_work,,,exact_title_author_overlap,1.0,1.0,1.0,0.0
1e8aeb006cd0e195b65bb1b36d982ae83460ba09,968e9457f7b1cc3511efba6a9a6c91bff6182e7a,same_work,,,exact_title_author_overlap,1.0,1.0,1.0,1.0
1f0b69d01a6e744951655c5ffc81494f6536e7f0,ae37da1155e63764ddc1ce31e38bd2a98b6276ac,same_work,,,exact_title_author_overlap,1.0,1.0,0.8929,0.0
2734b3cd9e4529a594a2e1cb101c853b8163339a,48a8d685dcbea5d5ddfb181d2d95afead298ee46,same_work,,,exact_title_author_overlap,1.0,1.0,1.0,0.0
293e98e1eb78383656a27d2774abb34130dba48b,4b63dab3ae51107d337727b64c51035c721cb627,same_work,,,exact_title_author_overlap,1.0,1.0,0.9444,2.0
39f9088b5f6d77c0b849407d4706128a419f1ba5,bd04c9a4e66dbb8ad2217c6f7ddce1fad1157919,same_work,,,exact_title_author_overlap,1.0,1.0,1.0,3.0
6970941be17f130214b572656c217639fdeef1c7,7a94e1e2ee82adbff56a94b1808bc74cf91cfce1,same_work,,,exact_title_author_overlap,1.0,1.0,0.9211,1.0
