author_1,author_2,weight
2359251,1768657,2
2359251,2189212,2
2359251,2118081,2
2359251,1634413853,2
2359251,2126207,2
2359251,1702017,2
2359251,38920489,2
2359251,1634413862,2
2359251,145102181,2
2359251,3189647,2
2359251,1402589424,2
2359251,2630782,2
2359251,2842990,2
2359251,1634414037,2
2359251,34197536,2
2359251,2359436506,2
2359251,1400165640,2
2359251,145502062,2
2359251,145081012,2
2359251,2431887,2
2359251,48436657,2
2359251,143697638,2
1768657,2189212,2
1768657,2118081,2
1768657,1634413853,2
1768657,2126207,2
1768657,1702017,2
1768657,38920489,2
1768657,1634413862,2
1768657,145102181,2
1768657,3189647,2
1768657,1402589424,2
1768657,2630782,2
1768657,2842990,2
1768657,1634414037,2
1768657,34197536,2
1768657,2359436506,2
1768657,1400165640,2
1768657,145502062,3
1768657,145081012,2
1768657,2431887,2
1768657,48436657,2
1768657,143697638,2
1768657,1768126,1
1768657,2162210436,1
1768657,6129031,1
1768657,2255323182,1
1768657,40306765,1
2189212,2118081,2
2189212,1634413853,2
2189212,2126207,2
2189212,1702017,2
2189212,38920489,2
2189212,1634413862,2
2189212,145102181,2
2189212,3189647,2
2189212,1402589424,2
2189212,2630782,2
2189212,2842990,2
2189212,1634414037,2
2189212,34197536,2
2189212,2359436506,2
2189212,1400165640,2
2189212,145502062,2
2189212,145081012,2
2189212,2431887,2
2189212,48436657,2
2189212,143697638,2
2118081,1634413853,2
2118081,2126207,2
2118081,1702017,2
2118081,38920489,2
2118081,1634413862,2
2118081,145102181,2
2118081,3189647,2
2118081,1402589424,2
2118081,2630782,2
2118081,2842990,2
2118081,1634414037,2
2118081,34197536,2
2118081,2359436506,2
2118081,1400165640,2
2118081,145502062,2
2118081,145081012,2
2118081,2431887,2
2118081,48436657,2
2118081,143697638,2
1634413853,2126207,2
1634413853,1702017,2
1634413853,38920489,2
1634413853,1634413862,2
1634413853,145102181,2
1634413853,3189647,2
1634413853,1402589424,2
1634413853,2630782,2
1634413853,2842990,2
1634413853,1634414037,2
1634413853,34197536,2
1634413853,2359436506,2
1634413853,1400165640,2
1634413853,145502062,2
1634413853,145081012,2
1634413853,2431887,2
1634413853,48436657,2
1634413853,143697638,2
2126207,1702017,2
2126207,38920489,2
2126207,1634413862,2
2126207,145102181,2
2126207,3189647,2
2126207,1402589424,2
2126207,2630782,2
2126207,2842990,2
2126207,1634414037,2
2126207,34197536,2
2126207,2359436506,2
2126207,1400165640,2
2126207,145502062,2
2126207,145081012,2
2126207,2431887,2
2126207,48436657,2
2126207,143697638,2
1702017,38920489,2
1702017,1634413862,2
1702017,145102181,2
1702017,3189647,2
1702017,1402589424,2
1702017,2630782,2
1702017,2842990,2
1702017,1634414037,2
1702017,34197536,2
1702017,2359436506,2
1702017,1400165640,2
1702017,145502062,2
1702017,145081012,2
1702017,2431887,2
1702017,48436657,2
1702017,143697638,2
1702017,1720773242,2
1702017,1403572267,2
1702017,39821158,2
1702017,8179924,1
1702017,2055421,1
1702017,145457626,2
1702017,2177153167,1
1702017,2177151101,1
1702017,2000327820,1
38920489,1634413862,2
38920489,145102181,2
38920489,3189647,2
38920489,1402589424,2
38920489,2630782,2
38920489,2842990,2
38920489,1634414037,2
38920489,34197536,2
38920489,2359436506,2
38920489,1400165640,2
38920489,145502062,2
38920489,145081012,2
38920489,2431887,2
38920489,48436657,2
38920489,143697638,2
1634413862,145102181,2
1634413862,3189647,2
1634413862,1402589424,2
1634413862,2630782,2
1634413862,2842990,2
1634413862,1634414037,2
1634413862,34197536,2
1634413862,2359436506,2
1634413862,1400165640,2
1634413862,145502062,2
1634413862,145081012,2
1634413862,2431887,2
1634413862,48436657,2
1634413862,143697638,2
145102181,3189647,2
145102181,1402589424,2
145102181,2630782,2
145102181,2842990,2
145102181,1634414037,2
145102181,34197536,2
145102181,2359436506,2
145102181,1400165640,2
145102181,145502062,2
145102181,145081012,2
145102181,2431887,2
145102181,48436657,2
145102181,143697638,2
3189647,1402589424,2
3189647,2630782,2
3189647,2842990,2
3189647,1634414037,2
3189647,34197536,2
3189647,2359436506,2
3189647,1400165640,2
3189647,145502062,2
3189647,145081012,2
3189647,2431887,2
3189647,48436657,2
3189647,143697638,2
1402589424,2630782,2
1402589424,2842990,2
1402589424,1634414037,2
1402589424,34197536,2
1402589424,2359436506,2
1402589424,1400165640,2
1402589424,145502062,2
1402589424,145081012,2
1402589424,2431887,2
1402589424,48436657,2
1402589424,143697638,2
1402589424,1413824630,1
1402589424,2026961966,1
1402589424,1788574,1
1402589424,144962062,1
1402589424,1403294306,1
2630782,2842990,2
2630782,1634414037,2
2630782,34197536,2
2630782,2359436506,2
2630782,1400165640,2
2630782,145502062,2
2630782,145081012,2
2630782,2431887,2
2630782,48436657,2
2630782,143697638,2
2842990,1634414037,2
2842990,34197536,2
2842990,2359436506,2
2842990,1400165640,2
2842990,145502062,2
2842990,145081012,2
2842990,2431887,2
2842990,48436657,2
2842990,143697638,2
2842990,2943011,1
2842990,1413911497,1
2842990,3681160,1
2842990,2073530309,1
2842990,144063147,1
2842990,144096091,1
2842990,2327561,1
2842990,1410444499,2
2842990,143889246,1
2842990,46983154,1
2842990,2233568,1
2842990,3411215,1
2842990,5845617,1
2842990,2253759,1
2842990,7739724,1
2842990,47593774,1
2842990,113170604,1
2842990,33420238,1
2842990,3268923,1
2842990,2743161,1
2842990,5950537,1
2842990,2062737,1
2842990,1390111156,1
2842990,2947773,1
2842990,47163635,1
2842990,7409864,1
2842990,48792891,1
2842990,1975196,1
2842990,89297323,1
2842990,2072980,1
2842990,50237705,1
2842990,50378855,1
2842990,1398423043,1
2842990,34174468,1
2842990,3727850,1
2842990,144159535,1
2842990,1722413,1
2842990,8503790,1
2842990,1404529236,1
2842990,2072381296,1
2842990,5515762,1
2842990,144526048,1
2842990,8968983,1
2842990,40391843,1
2842990,39630109,1
2842990,2717951,1
2842990,1721831,1
2842990,2412795623,1
2842990,5682090,1
2842990,12721071,1
2842990,5340458,1
2842990,8223789,1
2842990,2057342300,1
2842990,2333008,1
2842990,48804482,1
2842990,34096735,1
2842990,5769295,1
2842990,144788296,1
2842990,2065315356,1
2842990,1734422,1
2842990,2978615,1
2842990,144839194,1
2842990,7630602,1
2842990,46968367,1
2842990,7000526,1
2842990,2920773,1
2842990,1399712338,1
2842990,2611339,1
2842990,2712614,1
2842990,1893965,1
2842990,1912661,1
2842990,2022202,1
1634414037,34197536,2
1634414037,2359436506,2
1634414037,1400165640,2
1634414037,145502062,2
1634414037,145081012,2
1634414037,2431887,2
1634414037,48436657,2
1634414037,143697638,2
34197536,2359436506,2
34197536,1400165640,2
34197536,145502062,2
34197536,145081012,2
34197536,2431887,2
34197536,48436657,2
34197536,143697638,2
2359436506,1400165640,2
2359436506,145502062,2
2359436506,145081012,2
2359436506,2431887,2
2359436506,48436657,2
2359436506,143697638,2
1400165640,145502062,2
1400165640,145081012,2
1400165640,2431887,2
1400165640,48436657,2
1400165640,143697638,2
145502062,145081012,2
145502062,2431887,2
145502062,48436657,2
145502062,143697638,2
145502062,1768126,1
145502062,2162210436,1
145502062,6129031,1
