reason,kept_paper_id,merged_paper_id,title
same_doi,290a1ed97e6f9f1796dacedbae9260ab50b9af51,faf5d7e16c7960962b136e75a89e86e4b5c06998,Cortical synaptic diversity naturally arises with heterogeneous neural populations
same_doi,0190f6fc7adc07c584a5253aff5124e60b7a41b5,8936eaa40a6091a2f95b87ad0e6584ebf919eb39,"Dissecting a neuron network: FIB-SEM-based 3D-reconstruction of the visual neuropils in the sea spider Achelia langi (Dohrn, 1881) (Pycnogonida)"
same_doi,999399b161c1818011d998202270a2174b68ba9c,dcfb1b1eb6ed8b542ebf5131d110e8db125d42df,Uncovering the biological basis of control energy: Structural and metabolic correlates of energy inefficiency in temporal lobe epilepsy
same_doi,451875c984e902f277b93acc2fb6152f647ce988,d0c9bc6869914e4b1433a0fce0585f7b3b00a89c,X-ray microscopy for neural circuit reconstruction
same_doi,4545c3729ea8c2c323b068addb9bb7eb42bfefc5,e8926da8ebb10e11ae2f73b3f94ad208447fe317,Application of the radial distribution function for quantitative analysis of neuropil microstructure in stratum radiatum of CA1 region in hippocampus
exact_title_first_author_year_preprint_final,e73e24fd49f4a535bec415d75f4aac59c9dc690e,ca72d9f128107b6ab28a1696e494483c12215089,A comprehensive mechanosensory connectome reveals a somatotopically organized neural circuit architecture controlling stimulus-aimed grooming of the Drosophila head
exact_title_first_author_year_preprint_final,a3e5b8fc9a794c445cf7cc74701d70a13796beea,8446f503cb6042ed5ddb74269b9c24a208cccdb8,Peripheral anatomy and central connectivity of proprioceptive sensory neurons in the Drosophila wing
exact_title_first_author_year_preprint_final,12b4bf5fa3044ba5d931a0cf4d0e8fbb1781578c,fa6de3a99b36b50c25b014fc0b19bcbf87076e06,Synaptic architecture of leg and wing premotor control networks in Drosophila
exact_title_first_author_year_preprint_final,a315692601926115d8b7bbf138fcb1b45cc5ee44,9e2b5447ea06f560cc0588a11d387aff679dbecc,Dissecting the Functional Organization of the C. elegans Serotonergic System at Whole-Brain Scale
exact_title_first_author_year_preprint_final,92cae79c05bd2e4b326272f4793b9243db4079d1,901c466299330ad2886875b76f00c66606061610,Serotonin selectively modulates visual responses of object motion detectors in Drosophila
exact_title_first_author_year_preprint_final,4503c102147dabccb94de1e83034ee65c3c77a28,f39334b598dbe41304dd3d53d87d174fb18841b8,Fibration symmetries and cluster synchronization in the Caenorhabditis elegans connectome
exact_title_first_author_year_preprint_final,be8b18a1935a162a07d9cb67da74d3adea1bd0d3,d520a4e4e439d0b770f0fde7ee8da57934355d72,NEURD offers automated proofreading and feature extraction for connectomics
exact_title_first_author_year_preprint_final,ef7e62031a7e57803874a3e4979790e9c283ca32,fa56135529613113e6b093d3aa800aa74dba7152,Decoding sexual dimorphism of the sex-shared nervous system at single-neuron resolution
exact_title_first_author_year_preprint_final,ea5f1c242a57a5e181f3a2c0b331398c60f0fa95,ceaeead4450559c4427be1f3306d7f6efd709f92,Rabies virus-based barcoded neuroanatomy resolved by single-cell RNA and in situ sequencing
exact_title_first_author_year_preprint_final,06beef3240551114611641f620fa2250a8ffc17c,48b5472328b08f960fa20c88537863733be7f647,"Cognitive limits of larval Drosophila: testing for conditioned inhibition, sensory preconditioning, and second-order conditioning"
exact_title_first_author_year_preprint_final,48a8d685dcbea5d5ddfb181d2d95afead298ee46,2734b3cd9e4529a594a2e1cb101c853b8163339a,SynEM: Automated synapse detection for connectomics
exact_title_first_author_year_preprint_final,4a47ef58af874de6de1bc5ab61fa133faa7c3e80,49a68bf8546d5601f26397c328e880cbc8d34312,Mapping of Multiple Neurotransmitter Receptor Subtypes and Distinct Protein Complexes to the Connectome
exact_title_first_author_year_preprint_final,465b5e4dd7fd428fdca527ff2ef1fc57e954dc78,db033c4e28c5b87d3fdcdd6d32abf4fac242ed84,Targeting Age-Related Differences in Brain and Cognition with Multimodal Imaging and Connectome Topography Profiling
exact_title_first_author_year_preprint_final,88a88d46ef9c3bf018efee5291bc6f4659f03597,8f72a9549f600172b80aaed6157614d3890498b7,Structural MRI connectome in development: challenges of the changing brain.
exact_title_first_author_year_preprint_final,cb20072ffc8e4c5de6b38a8523379be49b46fd4a,6f436774da41e32e975cc26fa28a12cf3c958ab6,Atypical connectome topography and signal flow in temporal lobe epilepsy.
exact_title_first_author_year_preprint_final,ac6b0ddfa897594e6babf403ecdef708a89f21d3,12b051d4c0aa055e2eddf3157c7b9ff198c30118,Neural circuit mechanisms for transforming learned olfactory valences into wind-oriented movement
exact_title_first_author_year_preprint_final,ad566b8679444a9880376f2fe769babe17715162,c52b5c6fe596a887129e3d07879d01a4ac6d0afd,Divergent neural circuits for proprioceptive and exteroceptive sensing of the Drosophila leg
exact_title_first_author_year_preprint_final,f87e465c23053876686e523881b4fa10e19d7660,e61e6950e10d00dcc5e60a6ef3ca516e6f8289e7,Electron Microscopic Reconstruction of Neural Circuitry in the Cochlea.
exact_title_first_author_year_preprint_final,d3eb191944dbfeefcbd3c97df66ea4e2f6e9bd17,ad78224ba3195be5374b3c785cf68f15306d8c30,Hunger- and thirst-sensing neurons modulate a neuroendocrine network to coordinate sugar and water ingestion
exact_title_first_author_year_preprint_final,f825fc0ff4e605afce865052c4bf20f0240fff09,11abd7de8f7117c2560b052e6d674cd76d9f19fc,mEMbrain: an interactive deep learning MATLAB tool for connectomic segmentation on commodity desktops
exact_title_first_author_year_preprint_final,8a6d8e170e052d6df5f09e0e7c7a026239b61492,1ec35fded5cec7758dd4a884477ccb7bb19662b6,Neuronal wiring diagram of an adult brain
exact_title_first_author_year_preprint_final,1db68dd9d1fb55099f597ee0d9303e7926ba6d68,8e743dd7f749dc2a5813f51b5dfced1c7f7ed4c4,The hourglass organization of the Caenorhabditis elegans connectome
exact_title_first_author_year_preprint_final,892fde3f82303244c421b0c9bc769b4a68f1453d,1a8446636407fa5ccee51c9f8b67f92ce53b8ec4,Feature attention graph neural network for estimating brain age and identifying important neural connections in mouse models of genetic risk for Alzheimer’s disease
exact_title_first_author_year_preprint_final,1246b589f66c0e0b47870f301fd013784a4def66,307c4d5debc2d2668d7d18106baefd9242e92021,Functional connectomics reveals general wiring rule in mouse visual cortex
exact_title_first_author_year_preprint_final,4923e4485d37c74e9f61ee7b771121708c882b5f,960da541b07e3fefdaec5310ec83ef3e5c68e45d,Evaluating ultrastructural preservation quality in banked brain tissue
exact_title_first_author_year_preprint_final,1cd5cfb995352c6cb71a6fbe3eb9c97ee6ce2d51,3464d32fc7c0063b07ee4b7b87ecf74849437ba9,Semantic Representation of Neural Circuit Knowledge in Caenorhabditis elegans
exact_title_first_author_year_preprint_final,92886027641c1fffb25601342bca22e4c27eaa57,a9625ff7c163a4f3034879cce6e566c1e556364a,Human cortical dynamics reflect graded contributions of local geometry and network topography
exact_title_first_author_year_preprint_final,3c08c1b780770dac7f76d1c61aef1dff697b2d18,3507012c28541365a9cd173d52c6079666baf71a,Somatotopic organization among parallel sensory pathways that promote a grooming sequence in Drosophila
exact_title_first_author_year_preprint_final,b9a512ba5f904fb3fd54b0dbaa5309e4d84fb159,1932170f64f8ce58a387ab1db9fef92351851b9c,Connectome-driven neural inventory of a complete visual system
exact_title_first_author_year_preprint_final,a190f57a5a5c76253902465c979b446c74543d99,a8459c36f773fc44c856ee85586c949e158b044d,Can hubs of the human connectome be identified consistently with diffusion MRI?
exact_title_first_author_year_preprint_final,7f0aff85bd70b8ebd98ab132524f95d2cc726729,6a15a41b6e32a070b8cd899daba5f8fcdde42634,A Lesion-aware Edge-based Graph Neural Network for Predicting Language Ability in Patients with Post-stroke Aphasia
exact_title_first_author_year_preprint_final,2235c314cc478d94a8ff9be454cb6b04366e5c93,d4d930f2db2d7b45c5adbb1c247bbc61efcc9c62,Network statistics of the whole-brain connectome of Drosophila
exact_title_first_author_year_preprint_final,4b63dab3ae51107d337727b64c51035c721cb627,293e98e1eb78383656a27d2774abb34130dba48b,CAVE: Connectome Annotation Versioning Engine
exact_title_first_author_year_preprint_final,bfa11d02f8ca0f66de48051b7766691920602979,c342d2de77114cda1bd34c50ed94f3317390303f,Sexually-dimorphic neurons in the Drosophila whole-brain connectome
exact_title_first_author_year_preprint_final,b58ba1d2f058c8022f23fc30f64720a7a8511a84,aba7a0b08b4bfd9806b8e84f6c49df677a300ff1,Directionality bias underpins divergent spatiotemporal progression of Alzheimer‐related tauopathy in mouse models
exact_title_first_author_year_preprint_final,ff282268111ab1f245c03848c3ab124112a31a88,0e1fbfd9d405645847d929b75128352402bfc369,Synaptic Targets of Circadian Clock Neurons Influence Core Clock Parameters
exact_title_first_author_year_preprint_final,fbe5ec05b776461b798fd037250a17a0137d2bfb,3bb53c70d00ec26d3134ac7ff82ba35fdf15667b,A time-course study of actively stained mouse brains: DTI parameter and connectomic stability over one year
exact_title_first_author_year_preprint_final,bdf7a5242f2020757500c0f37109c725abab58d1,e1a19ac714e9ccb62b55cae2ba3b742cb1a2f8d1,SmartEM: machine-learning guided electron microscopy
same_doi,507b3fcea06ff2efa9cbaef5185442547cb92e0f,f7675cf5436039b366cb33472baaedb376c8cc98,Overexpression of α-Synuclein Reorganises Growth Factor Profile of Human Astrocytes
same_doi,3c385f9d26048e620529ba7b3597780b0535fe49,da4230abbfa65a59be5baa01a988ea3cc1eb26ca,Comprehensive diffusion MRI dataset for in vivo human brain microstructure mapping using 300 mT/m gradients
same_doi,9a4effda06152552c3c9e05a4e74f68e1a30d470,b97fc92521360f202cf8f83e5e5beb583f4c847e,Predicting full-scale and verbal intelligence scores from functional Connectomic data in individuals with autism Spectrum disorder
same_doi,cdceba05cbbc1e35692733058dd8d1e85a1d3ec7,29aa60298bdee2948037c2d1c924ba2afb7e9cbf,Diffusion MRI-based cortical connectome reconstruction: dependency on tractography procedures and neuroanatomical characteristics
same_doi,4c9d232234bd3978d0eb716493237c4bb27864cd,4a6ed2ad6052466a9996ec05cd75dd145b5e1099,APOE Genotype Effects on Intrinsic Brain Network Connectivity in Patients with Amnestic Mild Cognitive Impairment
same_doi,78396afbb68398538559bc1d87362a762d314060,0abaea0515b074a710a0313a7fbe611a9604e97e,Altered topology of structural brain networks in patients with Gilles de la Tourette syndrome
same_doi,6d29d2b06211693c2bf8936f6c9c4899cfc9f49e,80a83a2ed437d5cb7d07673ece149672d8ddcab8,Macroscale connectome manifold expansion in adolescence
exact_title_first_author_year_preprint_final,a4375a185353977635061a23aa92403460a904e2,06b12a15f929ecd2e25e33f942d1d8adeaf5ada6,Harmonized connectome resampling for variance in voxel sizes
exact_title_first_author_year_preprint_final,ee41e42e6861ed932fbb1fb1d0c45c1ef2133790,79d134896a50c4f27e678a657c9a8bb54d8eaee2,A generative model of the connectome with dynamic axon growth
exact_title_first_author_year_preprint_final,d0d557db9fbaf2d8abd99d4630361b4b93cfb20e,e183d000f623c8767dbd954d7eb11aecca624e43,Integrating brainstem and cortical functional architectures
exact_title_first_author_year_preprint_final,6bf34123eb168ced86a21537370a149461cdd430,e1c3e9252feda89428e465db9cda1426a3451145,"Spectral graph model for fMRI: A biophysical, connectivity-based generative model for the analysis of frequency-resolved resting-state fMRI"
exact_title_first_author_year_preprint_final,b938e9c585ad8a1f67dbf0963d8ea43f90a9c7af,184eacff376dfd1bb1525aa57fdade9db7595cd9,Geometry and Structural Plasticity of Synaptic Connectivity
exact_title_first_author_year_preprint_final,6a8e7315c989775c8c8c88efb835498dc2b02982,9c8bd144d91685ccdab06d3f122d46446417b361,Regression and alignment for functional data and network topology.
exact_title_first_author_year_preprint_final,444387e9c4ec1b6d52535cb42e2209e1912772a5,ac2734865c47e8385a43ca1d58e233bdae84d4e8,"Big Data, Small Bias: Harmonizing Diffusion MRI‐Based Structural Connectomes to Mitigate Site‐Related Bias in Data Integration"
