paper_id,author_id,author_name,position,n_authors
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,2359251,U. Ferizi,0,23
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,1768657,B. Scherrer,1,23
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,2189212,T. Schneider,2,23
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,2118081,M. Alipoor,3,23
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,1634413853,Odin Eufracio,4,23
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,2126207,Rutger Fick,5,23
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,1702017,R. Deriche,6,23
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,38920489,M. Nilsson,7,23
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,1634413862,Ana K. Loya‐Olivas,8,23
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,145102181,M. Rivera,9,23
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,3189647,D. Poot,10,23
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,1402589424,Alonso Ramírez-Manzanares,11,23
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,2630782,J. Marroquín,12,23
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,2842990,Ariel S. Rokem,13,23
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,1634414037,Christian Pötter,14,23
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,34197536,R. Dougherty,15,23
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,2359436506,Ken E. Sakaie,16,23
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,1400165640,C. Wheeler-Kingshott,17,23
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,145502062,S. Warfield,18,23
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,145081012,T. Witzel,19,23
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,2431887,L. Wald,20,23
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,48436657,J. Raya,21,23
905e9ebaac8b57cfb8bdf9d2012ead45448373c6,143697638,D. Alexander,22,23
d8ccd0ce76fc8d0f9ec08caf19d0ad68650edb40,1821358,P. Vértes,0,1
f2f840ce9927a823c6f97ac78c19c5c472e142d3,2110508990,Sen Song,0,5
f2f840ce9927a823c6f97ac78c19c5c472e142d3,2248256697,P. Sjöström,1,5
f2f840ce9927a823c6f97ac78c19c5c472e142d3,4336015,Markus Reigl,2,5
f2f840ce9927a823c6f97ac78c19c5c472e142d3,2249974827,Sacha Nelson,3,5
f2f840ce9927a823c6f97ac78c19c5c472e142d3,1978940,D. Chklovskii,4,5
caa9d164e4f6559c36a07627322945f9aa822fcb,39741434,Chaitali Anand,0,5
caa9d164e4f6559c36a07627322945f9aa822fcb,144817251,P. Maia,1,5
caa9d164e4f6559c36a07627322945f9aa822fcb,35698596,Justin Torok,2,5
caa9d164e4f6559c36a07627322945f9aa822fcb,5573605,Chris Mezias,3,5
caa9d164e4f6559c36a07627322945f9aa822fcb,143683523,A. Raj,4,5
f1a9ad0fd8166c2e2cb1f29e7b07a23c3f37177e,4621606,E. Gleichgerrcht,0,6
f1a9ad0fd8166c2e2cb1f29e7b07a23c3f37177e,8867266,J. Fridriksson,1,6
f1a9ad0fd8166c2e2cb1f29e7b07a23c3f37177e,2681260,C. Rorden,2,6
f1a9ad0fd8166c2e2cb1f29e7b07a23c3f37177e,2625032,Travis Nesland,3,6
f1a9ad0fd8166c2e2cb1f29e7b07a23c3f37177e,34496255,Rutvik H. Desai,4,6
f1a9ad0fd8166c2e2cb1f29e7b07a23c3f37177e,3330620,L. Bonilha,5,6
a4375a185353977635061a23aa92403460a904e2,2314690699,Elyssa M. McMaster,0,14
a4375a185353977635061a23aa92403460a904e2,2094729366,N. Newlin,1,14
a4375a185353977635061a23aa92403460a904e2,2300094732,G. Rudravaram,2,14
a4375a185353977635061a23aa92403460a904e2,2278434029,Adam M. Saunders,3,14
a4375a185353977635061a23aa92403460a904e2,2194797566,A. Krishnan,4,14
a4375a185353977635061a23aa92403460a904e2,2120237806,Lucas W. Remedios,5,14
a4375a185353977635061a23aa92403460a904e2,2214102241,Michael E. Kim,6,14
a4375a185353977635061a23aa92403460a904e2,2279559412,Hanliang Xu,7,14
a4375a185353977635061a23aa92403460a904e2,2355609919,Jongyeon Yoon,8,14
a4375a185353977635061a23aa92403460a904e2,2143123067,D. Archer,9,14
a4375a185353977635061a23aa92403460a904e2,143667969,K. Schilling,10,14
a4375a185353977635061a23aa92403460a904e2,51294781,F. Rheault,11,14
a4375a185353977635061a23aa92403460a904e2,2576395,L. Cutting,12,14
a4375a185353977635061a23aa92403460a904e2,2345543890,Bennett A. Landman,13,14
3556a198d9346b8ba33652bf702aed8b0254e2cc,1404715799,S. Chandrasekaran,0,12
3556a198d9346b8ba33652bf702aed8b0254e2cc,143995469,S. Bickel,1,12
3556a198d9346b8ba33652bf702aed8b0254e2cc,2083119,J. Herrero,2,12
3556a198d9346b8ba33652bf702aed8b0254e2cc,153187903,Joo-won Kim,3,12
3556a198d9346b8ba33652bf702aed8b0254e2cc,147686391,Noah Markowitz,4,12
3556a198d9346b8ba33652bf702aed8b0254e2cc,133888254,Elizabeth Espinal,5,12
3556a198d9346b8ba33652bf702aed8b0254e2cc,5139705,N. Bhagat,6,12
3556a198d9346b8ba33652bf702aed8b0254e2cc,80627451,R. Ramdeo,7,12
3556a198d9346b8ba33652bf702aed8b0254e2cc,3213868,Junqian Xu,8,12
3556a198d9346b8ba33652bf702aed8b0254e2cc,2514430,M. Glasser,9,12
3556a198d9346b8ba33652bf702aed8b0254e2cc,39542955,C. Bouton,10,12
3556a198d9346b8ba33652bf702aed8b0254e2cc,80226544,A. Mehta,11,12
782e2150e22bf5cc2969574b114d8cfef867cb40,38275262,S. Surampudi,0,6
782e2150e22bf5cc2969574b114d8cfef867cb40,47396930,Joyneel Misra,1,6
782e2150e22bf5cc2969574b114d8cfef867cb40,145333301,G. Deco,2,6
782e2150e22bf5cc2969574b114d8cfef867cb40,1769530,R. Bapi,3,6
782e2150e22bf5cc2969574b114d8cfef867cb40,2143229647,Avinash Sharma,4,6
782e2150e22bf5cc2969574b114d8cfef867cb40,2607391,Dipanjan Roy,5,6
b1e4381d08e00441e7e816766d7df3cf2375b916,50980287,Mengjie Deng,0,7
b1e4381d08e00441e7e816766d7df3cf2375b916,2109105214,Zhening Liu,1,7
b1e4381d08e00441e7e816766d7df3cf2375b916,49039960,Wen Zhang,2,7
b1e4381d08e00441e7e816766d7df3cf2375b916,2146254129,Zhipeng Wu,3,7
b1e4381d08e00441e7e816766d7df3cf2375b916,12825694,Heng-jie Cao,4,7
b1e4381d08e00441e7e816766d7df3cf2375b916,32577277,Jie Yang,5,7
b1e4381d08e00441e7e816766d7df3cf2375b916,2325979,L. Palaniyappan,6,7
b8e4c378ad0343a4c5e5fd1f79c2482ae5b49837,2205461331,Simone Holler,0,5
b8e4c378ad0343a4c5e5fd1f79c2482ae5b49837,48926867,German Köstinger,1,5
b8e4c378ad0343a4c5e5fd1f79c2482ae5b49837,145942574,K. Martin,2,5
b8e4c378ad0343a4c5e5fd1f79c2482ae5b49837,9546434,G. Schuhknecht,3,5
b8e4c378ad0343a4c5e5fd1f79c2482ae5b49837,3783400,K. Stratford,4,5
2794aa6c61ec552cbc08cfed6086e32da1333cfc,144530929,O. Schmitt,0,4
2794aa6c61ec552cbc08cfed6086e32da1333cfc,2956958,Peter Eipert,1,4
2794aa6c61ec552cbc08cfed6086e32da1333cfc,9783987,A. Wree,2,4
2794aa6c61ec552cbc08cfed6086e32da1333cfc,143844657,K. Schmitz,3,4
615cbf08f2afb696a8bd1f442e8121bc163b2d8f,2730700,J. Zung,0,4
615cbf08f2afb696a8bd1f442e8121bc163b2d8f,24011805,Ignacio Tartavull,1,4
615cbf08f2afb696a8bd1f442e8121bc163b2d8f,2785521,Kisuk Lee,2,4
615cbf08f2afb696a8bd1f442e8121bc163b2d8f,144924970,H. Seung,3,4
38bc733a168d3cab72fd08e227b0ff044e0e3282,2264281,D. Bassett,0,6
38bc733a168d3cab72fd08e227b0ff044e0e3282,2037961,N. Wymbs,1,6
38bc733a168d3cab72fd08e227b0ff044e0e3282,38247697,M. P. Rombach,2,6
38bc733a168d3cab72fd08e227b0ff044e0e3282,2554498,M. Porter,3,6
38bc733a168d3cab72fd08e227b0ff044e0e3282,1794748,P. Mucha,4,6
38bc733a168d3cab72fd08e227b0ff044e0e3282,3047772,Scott T. Grafton,5,6
f24bb8d6bd868f210c63e443bc34921f3de19227,6492240,A. Zarin,0,5
f24bb8d6bd868f210c63e443bc34921f3de19227,27155198,Brandon Mark,1,5
f24bb8d6bd868f210c63e443bc34921f3de19227,145844120,Albert Cardona,2,5
f24bb8d6bd868f210c63e443bc34921f3de19227,1401265175,Ashok Litwin-Kumar,3,5
f24bb8d6bd868f210c63e443bc34921f3de19227,9933121,C. Doe,4,5
e79311483558d91849635a769222b6e61e1c2387,1798247,G. Allan Johnson,0,9
e79311483558d91849635a769222b6e61e1c2387,1796235533,Nian Wang,1,9
e79311483558d91849635a769222b6e61e1c2387,145803722,R. J. Anderson,2,9
e79311483558d91849635a769222b6e61e1c2387,2108557038,Min Chen,3,9
e79311483558d91849635a769222b6e61e1c2387,2252851,G. Cofer,4,9
e79311483558d91849635a769222b6e61e1c2387,144716639,J. Gee,5,9
e79311483558d91849635a769222b6e61e1c2387,114858556,Forrest Pratson,6,9
e79311483558d91849635a769222b6e61e1c2387,1785987,N. Tustison,7,9
e79311483558d91849635a769222b6e61e1c2387,5157073,L. White,8,9
ac3c2d59c5d28c2728a6079bf0aac81206ad4402,40330087,L. Coletta,0,9
ac3c2d59c5d28c2728a6079bf0aac81206ad4402,2237121270,Paolo Avesani,1,9
ac3c2d59c5d28c2728a6079bf0aac81206ad4402,3438737,Luca Zigiotto,2,9
ac3c2d59c5d28c2728a6079bf0aac81206ad4402,2203403591,Martina Venturini,3,9
ac3c2d59c5d28c2728a6079bf0aac81206ad4402,65937814,Luciano Annicchiarico,4,9
ac3c2d59c5d28c2728a6079bf0aac81206ad4402,2316554603,Laura Vavassori,5,9
ac3c2d59c5d28c2728a6079bf0aac81206ad4402,122661043,S. Ng,6,9
ac3c2d59c5d28c2728a6079bf0aac81206ad4402,145578262,H. Duffau,7,9
ac3c2d59c5d28c2728a6079bf0aac81206ad4402,3627743,S. Sarubbo,8,9
79d05c5ffefa39451f4485287cc593dec4c98ce8,2113795897,Minghui Shi,0,10
79d05c5ffefa39451f4485287cc593dec4c98ce8,2060088839,L. Freitas,1,10
79d05c5ffefa39451f4485287cc593dec4c98ce8,1382549192,M. Spencer-Smith,2,10
79d05c5ffefa39451f4485287cc593dec4c98ce8,2312378593,Valeria Kebets,3,10
79d05c5ffefa39451f4485287cc593dec4c98ce8,144386624,V. Anderson,4,10
79d05c5ffefa39451f4485287cc593dec4c98ce8,36112194,A. McIlroy,5,10
79d05c5ffefa39451f4485287cc593dec4c98ce8,144453339,A. Wood,6,10
79d05c5ffefa39451f4485287cc593dec4c98ce8,31610085,R. Leventer,7,10
79d05c5ffefa39451f4485287cc593dec4c98ce8,35452821,D. Van de Ville,8,10
79d05c5ffefa39451f4485287cc593dec4c98ce8,2313645078,Vanessa Siffredi,9,10
e1e4311e0d46f818381190e154c64302ba6d869e,2843197,Xuyun Wen,0,8
