source,target,edge_type
000dc73202203b4f2f510b7998ace7371bee9b7b,757c9190a6f09e320f789042c4a1b20063847e73,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,40d4a2e001c8f341e2b5366269eda1a2ae188c7c,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,07ee24f19776438b35a6b78d360c2f580a00288a,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,27c86ef114cf1c22955dc8af462e709629fb559c,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,6f0ffdbbac7705599949dcf13274f98403694c0a,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,4f50f013bfa22bdea58829109d4143e8b6802ced,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,c079e733b0dad3f429d0da85928b424a0e1af9f0,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,36399b1d29bdff12ce987cdc8883b6ad61697957,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,d56df2f7eb519f57ee01f2e53bfde5fd527f40bc,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,c84af96b9f508bd275aa3486285362a964330654,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,e75e1b1f446e91323f77af8529bd57b44dfe55c7,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,b956b6de845cc8a871f7454c0586c8672b6c9a5b,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,bd3a122113bdd84cb25f66d05295b50c5279549f,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,5155e8de5c38375b4eefea72d8a09833dc3a03c0,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,1fe57cabe52c0cde7567695bc54ded88e57a7a25,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,979e9f1c543e4fd7de03299494afd1bfe95942a7,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,60ca1a6cb6a0c91391c95a2f7c5d7d63d825981c,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,4a001e4152cb7a6e145411ed31ea831a6b858c97,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,c6b745c7ecc3fc89d0df71727e1a0f456be7187a,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,51c0dd73c0164e941ec1e3bd42678d6aae6c117d,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,59cdf849049627e4c30f3bd866e3a7e03e893251,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,721b99870c8effd194fcad3423d47f5f87bb7651,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,d37fc9e9c4fedc32865b08661e7fb950df1f8fbe,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,203d7329be92494f795038f7c43a0442e8a76f3a,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,f44e2aa442420041b9d4428abf890b2b7934027c,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,b7c788283acd5bed343b4884d8bb6e7d6d8c62b0,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,055411f28a5e28c46c3f0079d397783afc721021,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,cdd675438a7260cc1f05e5033db120985df5a59c,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,688453e32f5043ef5ac485f5147a6ebfc831e79c,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,1a77e19441f3a0e030998fb2d11d9dd774582403,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,5b2d23a567b117ffe32dad3907a473e328127ff2,citation
000dc73202203b4f2f510b7998ace7371bee9b7b,579978d99493bc30913ab258fbd16412e3937a33,citation
30fca3d6122d1034af075b0633ff376324f3c5de,000dc73202203b4f2f510b7998ace7371bee9b7b,citation
0096736824c6ba479dc6c25f3f905585c981fddb,60a6c0afe215050a65fa349048f60c4400c5f112,citation
0096736824c6ba479dc6c25f3f905585c981fddb,eae7fb95854f7fceda3e76119f04b079a3b8d564,citation
0096736824c6ba479dc6c25f3f905585c981fddb,b5a7fb86369c8bb5d4d391a045bed54f7ff4ad3f,citation
0096736824c6ba479dc6c25f3f905585c981fddb,dbc795673aec96f99e94da5b4b1f724ac691120f,citation
0096736824c6ba479dc6c25f3f905585c981fddb,f9570175b92702136222a8654121db96321264d8,citation
0096736824c6ba479dc6c25f3f905585c981fddb,4a9fe32bbc7713f84a7708ca72976985e9898872,citation
0096736824c6ba479dc6c25f3f905585c981fddb,77bea4a0c33e425dd88f227eeba05ea7b27d3f14,citation
0096736824c6ba479dc6c25f3f905585c981fddb,e8a9a94685d5b960bfe0ef9f01355ebf9265fd3b,citation
0096736824c6ba479dc6c25f3f905585c981fddb,13b9686aea6aaf5cd348a006f8fc8efd40c7e2e4,citation
0096736824c6ba479dc6c25f3f905585c981fddb,0baba1e6d81393f8ca7430a86cb00fde900fa8be,citation
0096736824c6ba479dc6c25f3f905585c981fddb,515b56b69d7af092940dadae97e4b17d558ab99f,citation
0096736824c6ba479dc6c25f3f905585c981fddb,72770afead2b0886689dab1bdc716db9c4de1dd0,citation
0096736824c6ba479dc6c25f3f905585c981fddb,c3f634afff84fc0dc1b82d049eabf4d7c236d67e,citation
0096736824c6ba479dc6c25f3f905585c981fddb,748ca4b0fa11b614e1791b5d6f277410e5ecff0a,citation
0096736824c6ba479dc6c25f3f905585c981fddb,b2f90135f151593d4098dfa20e57fbac3e8b1e25,citation
0096736824c6ba479dc6c25f3f905585c981fddb,72977c0d18ed2a3b57f95571f119a319458c1dc3,citation
0096736824c6ba479dc6c25f3f905585c981fddb,7f2cdc3fb9950f604de58e9a4e301d18cbd227d0,citation
