author_id,name,retained_paper_count,core_candidate_paper_count,first_relevant_year,latest_relevant_year,axis_breadth,axes,evidence_classes,first_author_count,middle_author_count,last_author_count,coauthor_weighted_degree,coauthor_pagerank,coauthor_betweenness,author_saturation_candidate,nih_project_count,nih_project_numbers,nih_project_titles,nih_public_health_relevance
2359251,U. Ferizi,2,0,2016,2017,1,people_development,training_outreach_participation,2,0,0,44,6.925428224989632e-05,0.0,False,0,,,
1768657,B. Scherrer,3,0,2016,2020,1,people_development,training_outreach_participation,0,3,0,50,8.544311160728262e-05,0.0,False,0,,,
2189212,T. Schneider,2,0,2016,2017,1,people_development,training_outreach_participation,0,2,0,44,6.925428224989632e-05,0.0,False,0,,,
2118081,M. Alipoor,2,0,2016,2017,1,people_development,training_outreach_participation,0,2,0,44,6.925428224989632e-05,0.0,False,0,,,
1634413853,Odin Eufracio,2,0,2016,2017,1,people_development,training_outreach_participation,0,2,0,44,6.925428224989632e-05,0.0,False,0,,,
2126207,Rutger Fick,2,0,2016,2017,1,people_development,training_outreach_participation,0,2,0,44,6.925428224989632e-05,0.0,False,0,,,
1702017,R. Deriche,5,0,2013,2020,3,health_translation;network_science;people_development,biological_application;network_science;health_translation;training_outreach_participation,0,2,3,57,0.00010120943710377944,0.0,True,0,,,
38920489,M. Nilsson,2,0,2016,2017,1,people_development,training_outreach_participation,0,2,0,44,6.925428224989632e-05,0.0,False,0,,,
1634413862,Ana K. Loya‐Olivas,2,0,2016,2017,1,people_development,training_outreach_participation,0,2,0,44,6.925428224989632e-05,0.0,False,0,,,
145102181,M. Rivera,2,0,2016,2017,1,people_development,training_outreach_participation,0,2,0,44,6.925428224989632e-05,0.0,False,0,,,
3189647,D. Poot,2,0,2016,2017,1,people_development,training_outreach_participation,0,2,0,44,6.925428224989632e-05,0.0,False,0,,,
1402589424,Alonso Ramírez-Manzanares,3,0,2016,2017,2,network_science;people_development,network_science;training_outreach_participation,0,3,0,49,7.79096824800986e-05,0.0,True,0,,,
2630782,J. Marroquín,2,0,2016,2017,1,people_development,training_outreach_participation,0,2,0,44,6.925428224989632e-05,0.0,False,0,,,
2842990,Ariel S. Rokem,4,0,2014,2017,2,network_science;people_development,network_science;training_outreach_participation,0,4,0,117,0.00014277159123684123,0.0,True,0,,,
1634414037,Christian Pötter,2,0,2016,2017,1,people_development,training_outreach_participation,0,2,0,44,6.925428224989632e-05,0.0,False,0,,,
34197536,R. Dougherty,2,0,2016,2017,1,people_development,training_outreach_participation,0,2,0,44,6.925428224989632e-05,0.0,False,0,,,
2359436506,Ken E. Sakaie,2,0,2016,2017,1,people_development,training_outreach_participation,0,2,0,44,6.925428224989632e-05,0.0,False,0,,,
1400165640,C. Wheeler-Kingshott,2,0,2016,2017,1,people_development,training_outreach_participation,0,2,0,44,6.925428224989632e-05,0.0,False,0,,,
145502062,S. Warfield,3,0,2016,2020,1,people_development,training_outreach_participation,0,3,0,50,8.544311160728262e-05,0.0,False,0,,,
145081012,T. Witzel,11,0,2013,2022,6,direct_connectomics;health_translation;infrastructure;network_science;people_development;proofreading_qc,technical_enabling;infrastructure_qc;biological_application;network_science;health_translation;training_outreach_participation,0,11,0,177,0.0003012548380934137,0.0,True,0,,,
2431887,L. Wald,12,0,2012,2022,5,health_translation;infrastructure;network_science;people_development;proofreading_qc,technical_enabling;infrastructure_qc;biological_application;network_science;health_translation;training_outreach_participation,0,10,2,187,0.00030799218469526076,0.0,True,0,,,
48436657,J. Raya,2,0,2016,2017,1,people_development,training_outreach_participation,0,2,0,44,6.925428224989632e-05,0.0,False,0,,,
143697638,D. Alexander,4,0,2013,2017,3,health_translation;network_science;people_development,biological_application;network_science;health_translation;training_outreach_participation,1,1,2,66,0.0001228987325874969,0.0,True,0,,,
1821358,P. Vértes,17,8,2013,2025,5,alternative_modality;biological_application;health_translation;network_science;structure_function,technical_enabling;biological_application;network_science;health_translation,2,14,1,184,0.0003923307545308112,0.0,True,0,,,
2110508990,Sen Song,1,0,2005,2005,1,network_science,network_science,1,0,0,4,3.362483109863723e-05,0.0,False,0,,,
2248256697,P. Sjöström,1,0,2005,2005,1,network_science,network_science,0,1,0,4,3.362483109863723e-05,0.0,False,0,,,
4336015,Markus Reigl,3,1,2004,2005,1,network_science,network_science,1,2,0,10,7.051581947624681e-05,0.0,False,0,,,
2249974827,Sacha Nelson,1,0,2005,2005,1,network_science,network_science,0,1,0,4,3.362483109863724e-05,0.0,False,0,,,
1978940,D. Chklovskii,23,9,2002,2025,6,acquisition_preparation;direct_connectomics;infrastructure;network_science;proofreading_qc;reconstruction,technical_enabling;infrastructure_qc;network_science,2,5,16,110,0.0003827965481171493,0.0,True,0,,,
39741434,Chaitali Anand,4,0,2021,2025,1,health_translation,biological_application;health_translation,1,3,0,37,0.00010549634839698099,0.0,False,0,,,
144817251,P. Maia,2,0,2020,2021,3,health_translation;network_science;structure_function,biological_application;network_science;health_translation,0,2,0,7,3.735516487941498e-05,0.0,True,0,,,
35698596,Justin Torok,6,0,2021,2026,1,health_translation,biological_application;health_translation,2,4,0,43,0.00012939597874499432,0.0,False,0,,,
5573605,Chris Mezias,6,1,2017,2026,2,health_translation;network_science,biological_application;network_science;health_translation,2,4,0,16,7.539214181847137e-05,0.0,True,0,,,
143683523,A. Raj,16,1,2015,2022,3,health_translation;network_science;structure_function,biological_application;network_science;health_translation,3,3,10,64,0.0003029171751860649,0.0,True,0,,,
4621606,E. Gleichgerrcht,13,0,2015,2026,4,health_translation;network_science;people_development;structure_function,biological_application;network_science;health_translation;training_outreach_participation,6,5,2,294,0.0002841135161036081,0.0,True,0,,,
8867266,J. Fridriksson,10,0,2014,2021,3,health_translation;network_science;people_development,biological_application;network_science;health_translation;training_outreach_participation,0,8,2,57,0.0001225448352529746,0.0,True,0,,,
2681260,C. Rorden,13,0,2014,2021,3,health_translation;network_science;people_development,biological_application;network_science;health_translation;training_outreach_participation,0,11,2,82,0.00018155812122185887,0.0,True,0,,,
2625032,Travis Nesland,5,0,2014,2015,3,health_translation;network_science;people_development,biological_application;network_science;health_translation;training_outreach_participation,0,5,0,28,6.306152365829108e-05,0.0,True,0,,,
34496255,Rutvik H. Desai,1,0,2015,2015,3,health_translation;network_science;people_development,biological_application;network_science;health_translation;training_outreach_participation,0,1,0,5,1.724672697089297e-05,0.0,False,0,,,
3330620,L. Bonilha,24,1,2014,2023,4,health_translation;network_science;people_development;structure_function,biological_application;network_science;health_translation;training_outreach_participation,3,10,11,361,0.0004264209448965424,0.0,True,0,,,
2314690699,Elyssa M. McMaster,5,0,2024,2026,3,health_translation;network_science;people_development,biological_application;network_science;health_translation;training_outreach_participation,2,3,0,78,0.00011410299322105226,0.0,True,0,,,
2094729366,N. Newlin,16,0,2023,2026,4,health_translation;network_science;people_development;proofreading_qc,technical_enabling;infrastructure_qc;biological_application;network_science;health_translation;training_outreach_participation,7,9,0,211,0.00031014910148258575,0.0,True,0,,,
2300094732,G. Rudravaram,5,0,2024,2026,3,health_translation;network_science;people_development,biological_application;network_science;health_translation;training_outreach_participation,2,3,0,74,0.00011129650020388238,0.0,True,0,,,
2278434029,Adam M. Saunders,4,0,2024,2026,3,health_translation;network_science;people_development,biological_application;network_science;health_translation;training_outreach_participation,0,4,0,58,8.579139115666269e-05,0.0,True,0,,,
2194797566,A. Krishnan,5,0,2024,2026,3,health_translation;network_science;people_development,biological_application;network_science;health_translation;training_outreach_participation,0,5,0,74,0.0001079538864827397,0.0,True,0,,,
2120237806,Lucas W. Remedios,4,0,2021,2025,1,network_science,network_science,0,4,0,55,8.467064172602615e-05,0.0,False,0,,,
2214102241,Michael E. Kim,9,0,2024,2026,2,health_translation;network_science,biological_application;network_science;health_translation,0,9,0,110,0.00016671144071614662,0.0,True,0,,,
2279559412,Hanliang Xu,3,0,2024,2025,1,network_science,network_science,1,2,0,41,6.388548894858022e-05,0.0,False,0,,,
2355609919,Jongyeon Yoon,2,0,2025,2026,3,health_translation;network_science;people_development,biological_application;network_science;health_translation;training_outreach_participation,0,2,0,32,5.1764833070026456e-05,0.0,True,0,,,
2143123067,D. Archer,8,0,2023,2026,3,health_translation;network_science;people_development,biological_application;network_science;health_translation;training_outreach_participation,0,8,0,110,0.00016179007609844442,0.0,True,0,,,
143667969,K. Schilling,22,1,2019,2025,6,health_translation;infrastructure;network_science;people_development;proofreading_qc;structure_function,technical_enabling;infrastructure_qc;biological_application;network_science;health_translation;training_outreach_participation,1,21,0,278,0.0004302871740252166,0.0,True,0,,,
51294781,F. Rheault,26,1,2016,2026,5,health_translation;network_science;people_development;proofreading_qc;structure_function,technical_enabling;infrastructure_qc;biological_application;network_science;health_translation;training_outreach_participation,4,22,0,455,0.0005857072303586368,0.0,True,0,,,
2576395,L. Cutting,3,0,2022,2025,2,network_science;people_development,network_science;training_outreach_participation,0,3,0,50,7.86001696436737e-05,0.0,True,0,,,
2345543890,Bennett A. Landman,4,0,2025,2026,3,health_translation;network_science;people_development,biological_application;network_science;health_translation;training_outreach_participation,0,0,4,66,9.81854851212697e-05,0.0,True,0,,,
1404715799,S. Chandrasekaran,1,0,2020,2020,2,health_translation;network_science,biological_application;network_science;health_translation,1,0,0,11,4.306794666745559e-05,0.0,False,0,,,
143995469,S. Bickel,1,0,2020,2020,2,health_translation;network_science,biological_application;network_science;health_translation,0,1,0,11,4.306794666745559e-05,0.0,False,0,,,
2083119,J. Herrero,1,0,2020,2020,2,health_translation;network_science,biological_application;network_science;health_translation,0,1,0,11,4.306794666745559e-05,0.0,False,0,,,
153187903,Joo-won Kim,2,0,2019,2020,2,health_translation;network_science,biological_application;network_science;health_translation,0,2,0,15,5.617812689053103e-05,0.0,True,0,,,
147686391,Noah Markowitz,1,0,2020,2020,2,health_translation;network_science,biological_application;network_science;health_translation,0,1,0,11,4.306794666745559e-05,0.0,False,0,,,
133888254,Elizabeth Espinal,1,0,2020,2020,2,health_translation;network_science,biological_application;network_science;health_translation,0,1,0,11,4.306794666745559e-05,0.0,False,0,,,
5139705,N. Bhagat,1,0,2020,2020,2,health_translation;network_science,biological_application;network_science;health_translation,0,1,0,11,4.306794666745559e-05,0.0,False,0,,,
80627451,R. Ramdeo,1,0,2020,2020,2,health_translation;network_science,biological_application;network_science;health_translation,0,1,0,11,4.306794666745559e-05,0.0,False,0,,,
3213868,Junqian Xu,7,1,2012,2020,2,health_translation;network_science,biological_application;network_science;health_translation,0,6,1,108,0.0001891872104297404,0.0,True,0,,,
2514430,M. Glasser,33,3,2012,2023,5,health_translation;infrastructure;network_science;people_development;proofreading_qc,technical_enabling;infrastructure_qc;biological_application;network_science;health_translation;training_outreach_participation,2,30,1,406,0.0006925327056605387,0.0,True,0,,,
39542955,C. Bouton,1,0,2020,2020,2,health_translation;network_science,biological_application;network_science;health_translation,0,1,0,11,4.306794666745559e-05,0.0,False,0,,,
80226544,A. Mehta,1,0,2020,2020,2,health_translation;network_science,biological_application;network_science;health_translation,0,0,1,11,4.306794666745559e-05,0.0,False,0,,,
38275262,S. Surampudi,1,0,2019,2019,2,network_science;people_development,network_science;training_outreach_participation,1,0,0,5,4.59032653771539e-05,0.0,False,0,,,
47396930,Joyneel Misra,1,0,2019,2019,2,network_science;people_development,network_science;training_outreach_participation,0,1,0,5,4.59032653771539e-05,0.0,False,0,,,
145333301,G. Deco,25,0,2013,2023,4,health_translation;network_science;people_development;structure_function,biological_application;network_science;health_translation;training_outreach_participation,1,13,11,105,0.00040752197503060106,0.0,True,0,,,
1769530,R. Bapi,1,0,2019,2019,2,network_science;people_development,network_science;training_outreach_participation,0,1,0,5,4.59032653771539e-05,0.0,False,0,,,
2143229647,Avinash Sharma,1,0,2019,2019,2,network_science;people_development,network_science;training_outreach_participation,0,1,0,5,4.59032653771539e-05,0.0,False,0,,,
2607391,Dipanjan Roy,2,0,2019,2025,3,network_science;people_development;structure_function,biological_application;network_science;training_outreach_participation,0,1,1,9,9.739386476296838e-05,0.0,True,0,,,
50980287,Mengjie Deng,4,0,2020,2023,2,health_translation;network_science,biological_application;network_science;health_translation,1,3,0,25,7.182305176662024e-05,0.0,True,0,,,
2109105214,Zhening Liu,16,0,2019,2026,2,health_translation;network_science,biological_application;network_science;health_translation,0,16,0,111,0.0002978796357735967,0.0,True,0,,,
49039960,Wen Zhang,3,0,2022,2023,2,health_translation;network_science,biological_application;network_science;health_translation,0,3,0,19,5.817230142011795e-05,0.0,True,0,,,
2146254129,Zhipeng Wu,2,0,2021,2022,2,health_translation;network_science,biological_application;network_science;health_translation,0,2,0,12,3.860761063812e-05,0.0,True,0,,,
12825694,Heng-jie Cao,1,0,2022,2022,2,health_translation;network_science,biological_application;network_science;health_translation,0,1,0,6,2.4838824236517934e-05,0.0,False,0,,,
32577277,Jie Yang,7,0,2020,2023,2,health_translation;network_science,biological_application;network_science;health_translation,2,4,1,47,0.00012902573450203884,0.0,True,0,,,
2325979,L. Palaniyappan,16,0,2016,2023,3,health_translation;network_science;people_development,biological_application;network_science;health_translation;training_outreach_participation,2,4,10,113,0.0003586123616776646,0.0,True,0,,,
2205461331,Simone Holler,1,1,2019,2019,1,direct_connectomics,,1,0,0,4,3.170137623288121e-05,0.0,False,0,,,
48926867,German Köstinger,1,1,2019,2019,1,direct_connectomics,,0,1,0,4,3.170137623288121e-05,0.0,False,0,,,
145942574,K. Martin,1,1,2019,2019,1,direct_connectomics,,0,1,0,4,3.170137623288121e-05,0.0,False,0,,,
9546434,G. Schuhknecht,3,3,2019,2025,4,acquisition_preparation;direct_connectomics;infrastructure;network_science,technical_enabling;infrastructure_qc;network_science,0,3,0,99,0.00010948829914152223,0.0,True,0,,,
3783400,K. Stratford,1,1,2019,2019,1,direct_connectomics,,0,0,1,4,3.170137623288121e-05,0.0,False,0,,,
144530929,O. Schmitt,9,3,2010,2023,2,health_translation;network_science,biological_application;network_science;health_translation,6,3,0,57,0.00023022315737268847,0.0,True,0,,,
2956958,Peter Eipert,10,4,2010,2026,3,health_translation;network_science;people_development,biological_application;network_science;health_translation;training_outreach_participation,0,9,1,54,0.0002383885500993882,0.0,True,0,,,
9783987,A. Wree,5,1,2010,2022,2,health_translation;network_science,biological_application;network_science;health_translation,0,4,1,28,0.00012005846394826024,0.0,True,0,,,
143844657,K. Schmitz,2,0,2010,2011,1,network_science,network_science,0,0,2,6,3.142408353503097e-05,0.0,False,0,,,
2730700,J. Zung,4,4,2017,2021,3,acquisition_preparation;direct_connectomics;proofreading_qc,technical_enabling;infrastructure_qc,1,3,0,85,5.110568535978514e-05,0.0,True,0,,,
24011805,Ignacio Tartavull,6,5,2017,2024,5,biological_application;direct_connectomics;network_science;proofreading_qc;structure_function,technical_enabling;infrastructure_qc;biological_application;network_science,0,6,0,116,6.716779510480013e-05,0.0,True,0,,,
2785521,Kisuk Lee,4,4,2015,2019,3,acquisition_preparation;proofreading_qc;synapse_inference,technical_enabling;infrastructure_qc,2,2,0,16,1.7161201223838448e-05,0.0,True,0,,,
144924970,H. Seung,23,19,2010,2025,8,acquisition_preparation;alternative_modality;biological_application;direct_connectomics;network_science;proofreading_qc;structure_function;synapse_inference,technical_enabling;infrastructure_qc;biological_application;network_science,0,11,12,520,0.00029982754360484404,0.0,True,0,,,
2264281,D. Bassett,21,6,2011,2021,4,health_translation;infrastructure;network_science;people_development,technical_enabling;infrastructure_qc;biological_application;network_science;health_translation;training_outreach_participation,3,8,10,116,0.0004048697675750952,0.0,True,0,,,
2037961,N. Wymbs,1,0,2012,2012,1,people_development,training_outreach_participation,0,1,0,5,3.920862946573086e-05,0.0,False,0,,,
38247697,M. P. Rombach,1,0,2012,2012,1,people_development,training_outreach_participation,0,1,0,5,3.920862946573086e-05,0.0,False,0,,,
2554498,M. Porter,1,0,2012,2012,1,people_development,training_outreach_participation,0,1,0,5,3.920862946573086e-05,0.0,False,0,,,
1794748,P. Mucha,1,0,2012,2012,1,people_development,training_outreach_participation,0,1,0,5,3.920862946573086e-05,0.0,False,0,,,
3047772,Scott T. Grafton,2,0,2012,2023,2,network_science;people_development,network_science;training_outreach_participation,0,1,1,8,5.521262589093282e-05,0.0,True,0,,,
6492240,A. Zarin,6,4,2019,2026,2,network_science;structure_function,biological_application;network_science,2,3,1,29,9.799896148024261e-05,0.0,True,0,,,
27155198,Brandon Mark,5,5,2019,2024,6,acquisition_preparation;alternative_modality;biological_application;direct_connectomics;network_science;proofreading_qc,technical_enabling;infrastructure_qc;biological_application;network_science,1,4,0,85,7.888369420422939e-05,0.0,True,0,,,
145844120,Albert Cardona,20,14,2010,2021,6,acquisition_preparation;biological_application;direct_connectomics;network_science;proofreading_qc;synapse_inference,technical_enabling;infrastructure_qc;biological_application;network_science,2,13,5,178,0.0002444162678531155,0.0,True,0,,,
1401265175,Ashok Litwin-Kumar,17,11,2014,2025,4,direct_connectomics;network_science;people_development;structure_function,biological_application;network_science;training_outreach_participation,2,12,3,137,0.00025793034496852864,0.0,True,0,,,
9933121,C. Doe,7,5,2019,2024,3,direct_connectomics;network_science;synapse_inference,technical_enabling;network_science,0,1,6,33,7.336595742962015e-05,0.0,True,0,,,
1798247,G. Allan Johnson,2,0,2018,2018,2,health_translation;network_science,biological_application;network_science;health_translation,1,0,1,12,4.7527081807197905e-05,0.0,True,0,,,
1796235533,Nian Wang,5,0,2018,2022,2,health_translation;network_science,biological_application;network_science;health_translation,1,3,1,42,0.0001315420681483344,0.0,True,0,,,
145803722,R. J. Anderson,5,0,2018,2022,2,health_translation;network_science,biological_application;network_science;health_translation,1,4,0,35,0.0001246446370027071,0.0,True,0,,,
2108557038,Min Chen,1,0,2018,2018,1,network_science,network_science,0,1,0,8,3.457156633382113e-05,0.0,False,0,,,
2252851,G. Cofer,9,1,2015,2022,2,health_translation;network_science,biological_application;network_science;health_translation,0,9,0,66,0.0002219848228943679,0.0,True,0,,,
144716639,J. Gee,2,0,2018,2021,1,network_science,network_science,0,2,0,19,6.579606387435782e-05,0.0,False,0,,,
114858556,Forrest Pratson,2,0,2018,2021,1,network_science,network_science,0,2,0,14,5.469796247280894e-05,0.0,False,0,,,
1785987,N. Tustison,1,0,2018,2018,1,network_science,network_science,0,1,0,8,3.457156633382113e-05,0.0,False,0,,,
5157073,L. White,3,0,2018,2022,1,network_science,network_science,0,2,1,32,0.00010719320050273626,0.0,False,0,,,
40330087,L. Coletta,7,2,2020,2024,3,health_translation;network_science;structure_function,biological_application;network_science;health_translation,2,5,0,58,0.00019582380773577686,0.0,True,0,,,
2237121270,Paolo Avesani,1,0,2023,2023,3,health_translation;network_science;structure_function,biological_application;network_science;health_translation,0,1,0,8,3.7144220165741916e-05,0.0,False,0,,,
3438737,Luca Zigiotto,2,0,2020,2023,3,health_translation;network_science;structure_function,biological_application;network_science;health_translation,0,2,0,19,7.006539767641154e-05,0.0,True,0,,,
2203403591,Martina Venturini,1,0,2023,2023,3,health_translation;network_science;structure_function,biological_application;network_science;health_translation,0,1,0,8,3.7144220165741916e-05,0.0,False,0,,,
65937814,Luciano Annicchiarico,2,0,2020,2023,3,health_translation;network_science;structure_function,biological_application;network_science;health_translation,0,2,0,19,7.006539767641154e-05,0.0,True,0,,,
2316554603,Laura Vavassori,2,0,2023,2026,3,health_translation;network_science;structure_function,biological_application;network_science;health_translation,0,2,0,21,6.044157783002936e-05,0.0,True,0,,,
122661043,S. Ng,4,0,2021,2023,4,health_translation;network_science;people_development;structure_function,biological_application;network_science;health_translation;training_outreach_participation,2,2,0,23,0.00011269474815104763,0.0,True,0,,,
145578262,H. Duffau,28,0,2014,2023,4,health_translation;network_science;people_development;structure_function,biological_application;network_science;health_translation;training_outreach_participation,17,3,8,43,0.00022406964299554743,0.0,True,0,,,
3627743,S. Sarubbo,7,1,2018,2023,3,health_translation;network_science;structure_function,biological_application;network_science;health_translation,1,4,2,31,0.00011242374896310203,0.0,True,0,,,
2113795897,Minghui Shi,1,0,2021,2021,1,network_science,network_science,1,0,0,9,4.8942758203485395e-05,0.0,False,0,,,
2060088839,L. Freitas,1,0,2021,2021,1,network_science,network_science,0,1,0,9,4.8942758203485395e-05,0.0,False,0,,,
1382549192,M. Spencer-Smith,2,0,2021,2021,1,network_science,network_science,0,2,0,22,7.962206087181031e-05,0.0,False,0,,,
2312378593,Valeria Kebets,1,0,2021,2021,1,network_science,network_science,0,1,0,9,4.8942758203485395e-05,0.0,False,0,,,
